voltage (V), photocurrent (A)
-20.000, -5.424318e-12
-20.000, -4.953817e-12
-20.000, -4.828416e-12
-20.000, -4.565576e-12
-20.000, -4.427134e-12
-20.000, -4.397038e-12
-20.000, -4.193389e-12
-20.000, -4.055948e-12
-20.000, -4.036891e-12
-20.000, -3.917508e-12
-19.900, -2.764827e-12
-19.900, -2.860131e-12
-19.900, -2.839064e-12
-19.900, -2.794924e-12
-19.900, -2.871166e-12
-19.900, -2.702628e-12
-19.900, -2.683566e-12
-19.900, -2.729715e-12
-19.900, -2.777871e-12
-19.900, -2.842074e-12
-19.800, -2.32442e-12
-19.800, -2.400665e-12
-19.800, -2.409693e-12
-19.800, -2.473898e-12
-19.800, -2.401667e-12
-19.800, -2.469886e-12
-19.800, -2.409694e-12
-19.800, -2.405679e-12
-19.800, -2.3806e-12
-19.800, -2.356524e-12
-19.700, -2.174943e-12
-19.700, -2.212063e-12
-19.700, -2.166919e-12
-19.700, -2.182968e-12
-19.700, -2.10171e-12
-19.700, -2.021454e-12
-19.700, -2.162906e-12
-19.700, -2.136821e-12
-19.700, -2.259213e-12
-19.700, -2.123781e-12
-19.600, -2.017442e-12
-19.600, -2.003396e-12
-19.600, -2.11074e-12
-19.600, -2.044527e-12
-19.600, -2.054559e-12
-19.600, -2.016437e-12
-19.600, -2.143844e-12
-19.600, -2.017442e-12
-19.600, -2.084656e-12
-19.600, -1.996373e-12
-19.500, -1.992361e-12
-19.500, -2.005403e-12
-19.500, -2.009417e-12
-19.500, -1.949223e-12
-19.500, -1.932168e-12
-19.500, -2.068604e-12
-19.500, -1.952233e-12
-19.500, -1.934174e-12
-19.500, -1.986343e-12
-19.500, -1.974303e-12
-19.400, -1.947217e-12
-19.400, -2.026469e-12
-19.400, -1.89806e-12
-19.400, -2.016438e-12
-19.400, -1.867963e-12
-19.400, -2.001388e-12
-19.400, -1.860941e-12
-19.400, -1.993364e-12
-19.400, -1.92013e-12
-19.400, -1.983332e-12
-19.300, -1.858935e-12
-19.300, -1.841881e-12
-19.300, -2.012425e-12
-19.300, -1.972296e-12
-19.300, -1.942199e-12
-19.300, -1.947217e-12
-19.300, -1.910097e-12
-19.300, -1.950227e-12
-19.300, -1.979319e-12
-19.300, -1.923139e-12
-19.200, -1.918123e-12
-19.200, -1.948219e-12
-19.200, -1.839874e-12
-19.200, -1.86696e-12
-19.200, -1.74156e-12
-19.200, -1.850909e-12
-19.200, -1.826832e-12
-19.200, -1.859938e-12
-19.200, -1.822818e-12
-19.200, -1.897057e-12
-19.100, -1.784698e-12
-19.100, -1.907089e-12
-19.100, -1.729522e-12
-19.100, -1.888027e-12
-19.100, -1.853919e-12
-19.100, -1.953236e-12
-19.100, -1.937184e-12
-19.100, -1.840877e-12
-19.100, -1.865957e-12
-19.100, -1.92013e-12
-19.000, -1.43157e-12
-19.000, -1.612147e-12
-19.000, -1.704441e-12
-19.000, -1.765637e-12
-19.000, -1.866959e-12
-19.000, -1.915115e-12
-19.000, -1.928154e-12
-19.000, -1.899063e-12
-19.000, -1.835861e-12
-19.000, -1.92615e-12
-18.900, -1.839873e-12
-18.900, -1.775668e-12
-18.900, -1.975305e-12
-18.900, -1.821816e-12
-18.900, -1.815797e-12
-18.900, -1.806768e-12
-18.900, -1.880002e-12
-18.900, -1.811783e-12
-18.900, -1.905082e-12
-18.900, -1.770652e-12
-18.800, -1.761624e-12
-18.800, -1.774666e-12
-18.800, -1.767643e-12
