voltage (V), photocurrent (A)
-20.000, -2.246562e-09
-20.000, -2.242261e-09
-20.000, -2.244512e-09
-20.000, -2.245148e-09
-20.000, -2.240276e-09
-20.000, -2.236814e-09
-20.000, -2.240231e-09
-20.000, -2.237248e-09
-20.000, -2.233295e-09
-20.000, -2.234598e-09
-19.900, -2.213756e-09
-19.900, -2.212726e-09
-19.900, -2.215555e-09
-19.900, -2.21671e-09
-19.900, -2.212163e-09
-19.900, -2.214705e-09
-19.900, -2.218103e-09
-19.900, -2.21489e-09
-19.900, -2.213874e-09
-19.900, -2.219571e-09
-19.800, -2.22129e-09
-19.800, -2.219323e-09
-19.800, -2.217226e-09
-19.800, -2.22161e-09
-19.800, -2.220088e-09
-19.800, -2.2165e-09
-19.800, -2.2173e-09
-19.800, -2.216088e-09
-19.800, -2.213746e-09
-19.800, -2.214227e-09
-19.700, -2.21246e-09
-19.700, -2.215823e-09
-19.700, -2.210673e-09
-19.700, -2.208007e-09
-19.700, -2.21146e-09
-19.700, -2.210111e-09
-19.700, -2.207485e-09
-19.700, -2.210365e-09
-19.700, -2.209744e-09
-19.700, -2.208029e-09
-19.600, -2.202291e-09
-19.600, -2.200696e-09
-19.600, -2.197451e-09
-19.600, -2.192882e-09
-19.600, -2.192749e-09
-19.600, -2.193794e-09
-19.600, -2.190343e-09
-19.600, -2.18744e-09
-19.600, -2.247324e-09
-19.600, -2.29345e-09
-19.500, -2.23219e-09
-19.500, -2.231134e-09
-19.500, -2.226372e-09
-19.500, -2.226691e-09
-19.500, -2.226692e-09
-19.500, -2.222726e-09
-19.500, -2.21889e-09
-19.500, -2.221737e-09
-19.500, -2.218963e-09
-19.500, -2.217218e-09
-19.400, -2.181524e-09
-19.400, -2.180566e-09
-19.400, -2.178308e-09
-19.400, -2.180928e-09
-19.400, -2.181147e-09
-19.400, -2.17908e-09
-19.400, -2.175237e-09
-19.400, -2.178483e-09
-19.400, -2.177672e-09
-19.400, -2.177637e-09
-19.300, -2.183103e-09
-19.300, -2.18328e-09
-19.300, -2.17773e-09
-19.300, -2.18125e-09
-19.300, -2.187159e-09
-19.300, -2.181558e-09
-19.300, -2.183405e-09
-19.300, -2.181513e-09
-19.300, -2.182345e-09
-19.300, -2.178319e-09
-19.200, -2.186614e-09
-19.200, -2.186396e-09
-19.200, -2.187025e-09
-19.200, -2.221152e-09
-19.200, -2.132424e-09
-19.200, -2.161165e-09
-19.200, -2.131968e-09
-19.200, -2.163766e-09
-19.200, -2.151874e-09
-19.200, -2.162919e-09
-19.100, -2.151066e-09
-19.100, -2.176065e-09
-19.100, -2.154041e-09
-19.100, -2.154555e-09
-19.100, -2.153341e-09
-19.100, -2.172725e-09
-19.100, -2.140061e-09
-19.100, -2.154672e-09
-19.100, -2.150354e-09
-19.100, -2.15601e-09
-19.000, -2.188143e-09
-19.000, -2.190274e-09
-19.000, -2.190127e-09
-19.000, -2.188208e-09
-19.000, -2.190473e-09
-19.000, -2.193262e-09
-19.000, -2.191531e-09
-19.000, -2.188584e-09
-19.000, -2.191336e-09
-19.000, -2.191556e-09
-18.900, -2.165878e-09
-18.900, -2.169023e-09
-18.900, -2.167599e-09
-18.900, -2.165114e-09
-18.900, -2.172218e-09
-18.900, -2.166108e-09
-18.900, -2.168044e-09
