voltage (V), photocurrent (A)
-20.000, -5.590239e-10
-20.000, -5.560745e-10
-20.000, -5.564258e-10
-20.000, -5.568501e-10
-20.000, -5.55278e-10
-20.000, -5.581431e-10
-20.000, -5.501578e-10
-20.000, -5.522302e-10
-20.000, -5.534965e-10
-20.000, -5.538243e-10
-19.900, -5.562913e-10
-19.900, -5.563658e-10
-19.900, -5.555756e-10
-19.900, -5.555609e-10
-19.900, -5.562372e-10
-19.900, -5.558278e-10
-19.900, -5.551939e-10
-19.900, -5.556833e-10
-19.900, -5.552558e-10
-19.900, -5.544944e-10
-19.800, -5.45897e-10
-19.800, -5.453171e-10
-19.800, -5.457846e-10
-19.800, -5.455725e-10
-19.800, -5.44717e-10
-19.800, -5.448696e-10
-19.800, -5.449539e-10
-19.800, -5.442274e-10
-19.800, -5.43744e-10
-19.800, -5.441069e-10
-19.700, -5.390536e-10
-19.700, -5.398611e-10
-19.700, -5.399929e-10
-19.700, -5.389768e-10
-19.700, -5.397862e-10
-19.700, -5.385754e-10
-19.700, -5.393926e-10
-19.700, -5.392905e-10
-19.700, -5.393608e-10
-19.700, -5.376113e-10
-19.600, -5.317004e-10
-19.600, -5.315868e-10
-19.600, -5.318226e-10
-19.600, -5.317071e-10
-19.600, -5.313512e-10
-19.600, -5.314024e-10
-19.600, -5.316429e-10
-19.600, -5.314805e-10
-19.600, -5.310963e-10
-19.600, -5.318749e-10
-19.500, -5.285673e-10
-19.500, -5.29146e-10
-19.500, -5.295372e-10
-19.500, -5.293499e-10
-19.500, -5.300864e-10
-19.500, -5.301353e-10
-19.500, -5.300361e-10
-19.500, -5.299042e-10
-19.500, -5.306275e-10
-19.500, -5.307711e-10
-19.400, -5.301034e-10
-19.400, -5.299035e-10
-19.400, -5.301827e-10
-19.400, -5.307854e-10
-19.400, -5.309448e-10
-19.400, -5.30404e-10
-19.400, -5.305306e-10
-19.400, -5.308226e-10
-19.400, -5.302627e-10
-19.400, -5.301729e-10
-19.300, -5.299766e-10
-19.300, -5.298434e-10
-19.300, -5.296226e-10
-19.300, -5.30438e-10
-19.300, -5.299787e-10
-19.300, -5.299522e-10
-19.300, -5.308177e-10
-19.300, -5.307282e-10
-19.300, -5.30332e-10
-19.300, -5.305018e-10
-19.200, -5.286155e-10
-19.200, -5.281197e-10
-19.200, -5.287383e-10
-19.200, -5.293195e-10
-19.200, -5.288158e-10
-19.200, -5.287307e-10
-19.200, -5.298735e-10
-19.200, -5.296006e-10
-19.200, -5.291994e-10
-19.200, -5.293777e-10
