voltage (V), photocurrent (A)
-10.000, -2.237216e-09
-10.000, -2.232964e-09
-10.000, -2.235218e-09
-10.000, -2.232042e-09
-10.000, -2.224561e-09
-10.000, -2.220742e-09
-10.000, -2.225004e-09
-10.000, -2.244208e-09
-10.000, -2.252581e-09
-10.000, -2.250999e-09
-9.990, -2.220629e-09
-9.990, -2.211765e-09
-9.990, -2.21335e-09
-9.990, -2.208957e-09
-9.990, -2.20456e-09
-9.990, -2.208028e-09
-9.990, -2.203051e-09
-9.990, -2.198478e-09
-9.990, -2.198586e-09
-9.990, -2.221532e-09
-9.980, -2.247825e-09
-9.980, -2.240927e-09
-9.980, -2.240858e-09
-9.980, -2.245008e-09
-9.980, -2.247228e-09
-9.980, -2.257204e-09
-9.980, -2.256477e-09
-9.980, -2.257672e-09
-9.980, -2.260865e-09
-9.980, -2.258494e-09
-9.970, -2.240329e-09
-9.970, -2.231858e-09
-9.970, -2.232928e-09
-9.970, -2.240153e-09
-9.970, -2.238079e-09
-9.970, -2.233574e-09
-9.970, -2.234568e-09
-9.970, -2.236081e-09
-9.970, -2.234255e-09
-9.970, -2.238347e-09
-9.960, -2.205019e-09
-9.960, -2.225934e-09
-9.960, -2.238794e-09
-9.960, -2.237407e-09
-9.960, -2.228705e-09
-9.960, -2.231238e-09
-9.960, -2.22994e-09
-9.960, -2.230889e-09
-9.960, -2.234582e-09
-9.960, -2.227894e-09
-9.950, -2.222685e-09
-9.950, -2.234814e-09
-9.950, -2.222029e-09
-9.950, -2.234783e-09
-9.950, -2.218301e-09
-9.950, -2.229335e-09
-9.950, -2.231755e-09
-9.950, -2.218548e-09
-9.950, -2.224821e-09
-9.950, -2.229713e-09
-9.940, -2.199207e-09
-9.940, -2.195293e-09
-9.940, -2.197549e-09
-9.940, -2.197892e-09
-9.940, -2.196135e-09
-9.940, -2.194641e-09
-9.940, -2.198938e-09
-9.940, -2.197729e-09
-9.940, -2.190962e-09
-9.940, -2.1688e-09
-9.930, -2.204666e-09
-9.930, -2.206971e-09
-9.930, -2.209595e-09
-9.930, -2.208909e-09
-9.930, -2.208389e-09
-9.930, -2.216035e-09
-9.930, -2.217203e-09
-9.930, -2.214457e-09
-9.930, -2.216895e-09
-9.930, -2.215879e-09
-9.920, -2.218088e-09
-9.920, -2.218493e-09
-9.920, -2.217321e-09
-9.920, -2.21612e-09
-9.920, -2.216771e-09
-9.920, -2.217266e-09
-9.920, -2.216564e-09
-9.920, -2.216676e-09
-9.920, -2.216784e-09
-9.920, -2.21635e-09
-9.910, -2.222497e-09
-9.910, -2.217067e-09
-9.910, -2.220115e-09
-9.910, -2.223282e-09
-9.910, -2.219699e-09
-9.910, -2.220603e-09
-9.910, -2.221716e-09
-9.910, -2.219759e-09
-9.910, -2.220644e-09
-9.910, -2.223316e-09
-9.900, -2.216973e-09
-9.900, -2.216354e-09
-9.900, -2.217949e-09
-9.900, -2.218818e-09
-9.900, -2.216658e-09
-9.900, -2.217099e-09
-9.900, -2.219121e-09
-9.900, -2.216594e-09
-9.900, -2.215853e-09
-9.900, -2.218361e-09
-9.890, -2.217433e-09
-9.890, -2.214012e-09
-9.890, -2.216142e-09
-9.890, -2.217666e-09
-9.890, -2.215899e-09
-9.890, -2.214284e-09
-9.890, -2.215298e-09
-9.890, -2.213957e-09
-9.890, -2.215783e-09
-9.890, -2.217494e-09
-9.880, -2.210847e-09
-9.880, -2.21192e-09
-9.880, -2.21249e-09
-9.880, -2.213022e-09
-9.880, -2.215433e-09
-9.880, -2.212674e-09
-9.880, -2.212551e-09
-9.880, -2.213285e-09
-9.880, -2.211748e-09
-9.880, -2.216297e-09
-9.870, -2.212039e-09
-9.870, -2.216531e-09
-9.870, -2.214823e-09
-9.870, -2.211634e-09
-9.870, -2.215073e-09
-9.870, -2.212267e-09
-9.870, -2.21155e-09
-9.870, -2.21166e-09
-9.870, -2.211053e-09
-9.870, -2.20861e-09
-9.860, -2.203385e-09
-9.860, -2.201052e-09
-9.860, -2.199444e-09
-9.860, -2.204162e-09
-9.860, -2.207132e-09
-9.860, -2.204e-09
-9.860, -2.210498e-09
-9.860, -2.209583e-09
-9.860, -2.205737e-09
-9.860, -2.205561e-09
-9.850, -2.212123e-09
-9.850, -2.207617e-09
-9.850, -2.210085e-09
-9.850, -2.208506e-09
-9.850, -2.20593e-09
-9.850, -2.208274e-09
-9.850, -2.201406e-09
-9.850, -2.197846e-09
-9.850, -2.201022e-09
-9.850, -2.205668e-09
-9.840, -2.204666e-09
-9.840, -2.212464e-09
-9.840, -2.212677e-09
-9.840, -2.2117e-09
-9.840, -2.209014e-09
-9.840, -2.210105e-09
-9.840, -2.210551e-09
-9.840, -2.214284e-09
-9.840, -2.210983e-09
-9.840, -2.211676e-09
-9.830, -2.21252e-09
-9.830, -2.204929e-09
-9.830, -2.207336e-09
-9.830, -2.212655e-09
-9.830, -2.209783e-09
-9.830, -2.209757e-09
-9.830, -2.212994e-09
-9.830, -2.20721e-09
-9.830, -2.206117e-09
-9.830, -2.211437e-09
-9.820, -2.213991e-09
-9.820, -2.213864e-09
-9.820, -2.214028e-09
-9.820, -2.21713e-09
-9.820, -2.216256e-09
-9.820, -2.214363e-09
-9.820, -2.217877e-09
-9.820, -2.216371e-09
-9.820, -2.216747e-09
-9.820, -2.214114e-09
-9.810, -2.218867e-09
-9.810, -2.220172e-09
-9.810, -2.215495e-09
-9.810, -2.217356e-09
-9.810, -2.220679e-09
-9.810, -2.216199e-09
-9.810, -2.220283e-09
-9.810, -2.222511e-09
-9.810, -2.220391e-09
-9.810, -2.216671e-09
-9.800, -2.224977e-09
-9.800, -2.220334e-09
-9.800, -2.215798e-09
-9.800, -2.222827e-09
-9.800, -2.220622e-09
-9.800, -2.219799e-09
-9.800, -2.223032e-09
-9.800, -2.221689e-09
-9.800, -2.219601e-09
-9.800, -2.22403e-09
-9.790, -2.223618e-09
