voltage (V), photocurrent (A)
-10.000, -3.851269e-12
-10.000, -3.186152e-12
-10.000, -3.105893e-12
-10.000, -3.003571e-12
-10.000, -2.660478e-12
-10.000, -2.387607e-12
-10.000, -2.318387e-12
-10.000, -2.296317e-12
-10.000, -2.451811e-12
-10.000, -1.998365e-12
-9.990, -1.447611e-12
-9.990, -1.551944e-12
-9.990, -1.486736e-12
-9.990, -1.70443e-12
-9.990, -1.560973e-12
-9.990, -1.43457e-12
-9.990, -1.423534e-12
-9.990, -1.533887e-12
-9.990, -1.427547e-12
-9.990, -1.511816e-12
-9.980, -1.254998e-12
-9.980, -1.307164e-12
-9.980, -1.191797e-12
-9.980, -1.223899e-12
-9.980, -1.351305e-12
-9.980, -1.352308e-12
-9.980, -9.951697e-13
-9.980, -1.241956e-12
-9.980, -1.212864e-12
-9.980, -1.26804e-12
-9.970, -9.038786e-13
-9.970, -1.18979e-12
-9.970, -1.491752e-12
-9.970, -9.088948e-13
-9.970, -9.068888e-13
-9.970, -5.627919e-13
-9.970, -1.051349e-12
-9.970, -9.700899e-13
-9.970, -1.011221e-12
-9.970, -1.199822e-12
-9.960, -1.099502e-12
-9.960, -1.055362e-12
-9.960, -9.730996e-13
-9.960, -1.035298e-12
-9.960, -1.015234e-12
-9.960, -1.005201e-12
-9.960, -1.029279e-12
-9.960, -1.032289e-12
-9.960, -1.090474e-12
-9.960, -9.751064e-13
-9.950, -9.951698e-13
-9.950, -1.117561e-12
-9.950, -9.901541e-13
-9.950, -1.02025e-12
-9.950, -8.697708e-13
-9.950, -9.811256e-13
-9.950, -8.145945e-13
-9.950, -7.965379e-13
-9.950, -9.249468e-13
-9.950, -8.286395e-13
-9.940, -8.76793e-13
-9.940, -8.69771e-13
-9.940, -9.219364e-13
-9.940, -9.389916e-13
-9.940, -8.19611e-13
-9.940, -8.005498e-13
-9.940, -8.356618e-13
-9.940, -8.868245e-13
-9.940, -8.206141e-13
-9.940, -8.426838e-13
-9.930, -8.537195e-13
-9.930, -9.430038e-13
-9.930, -8.657584e-13
-9.930, -8.607421e-13
-9.930, -8.577322e-13
-9.930, -8.617455e-13
-9.930, -7.393554e-13
-9.930, -8.567292e-13
-9.930, -7.885114e-13
-9.930, -8.477002e-13
-9.920, -7.91521e-13
-9.920, -9.078924e-13
-9.920, -9.209341e-13
-9.920, -8.306462e-13
-9.920, -8.466973e-13
-9.920, -8.737837e-13
-9.920, -7.965372e-13
-9.920, -7.754705e-13
-9.920, -1.031286e-12
-9.920, -7.654383e-13
-9.910, -7.263136e-13
-9.910, -8.025565e-13
-9.910, -7.403583e-13
-9.910, -9.259499e-13
-9.910, -8.436877e-13
-9.910, -8.747866e-13
-9.910, -9.209342e-13
-9.910, -8.767931e-13
-9.910, -8.737837e-13
-9.910, -7.102621e-13
-9.900, -8.105821e-13
-9.900, -8.597394e-13
-9.900, -6.891951e-13
-9.900, -7.323327e-13
-9.900, -7.223005e-13
