voltage (V), photocurrent (A)
-10.000, -5.079088e-10
-10.000, -5.058038e-10
-10.000, -5.052982e-10
-10.000, -5.050824e-10
-10.000, -5.035043e-10
-10.000, -5.03081e-10
-10.000, -5.019392e-10
-10.000, -5.030489e-10
-10.000, -5.020716e-10
-10.000, -5.018929e-10
-9.990, -4.977979e-10
-9.990, -4.976362e-10
-9.990, -4.978057e-10
-9.990, -4.966826e-10
-9.990, -4.97342e-10
-9.990, -4.980175e-10
-9.990, -4.957753e-10
-9.990, -4.950039e-10
-9.990, -4.972783e-10
-9.990, -4.957865e-10
-9.980, -4.957272e-10
-9.980, -4.94443e-10
-9.980, -4.956348e-10
-9.980, -4.942203e-10
-9.980, -4.947391e-10
-9.980, -4.94002e-10
-9.980, -4.941943e-10
-9.980, -4.936467e-10
-9.980, -4.942444e-10
-9.980, -4.943576e-10
-9.970, -4.938763e-10
-9.970, -4.942417e-10
-9.970, -4.929895e-10
-9.970, -4.951494e-10
-9.970, -4.948414e-10
-9.970, -4.935162e-10
-9.970, -4.929595e-10
-9.970, -4.942533e-10
-9.970, -4.937603e-10
-9.970, -4.925129e-10
-9.960, -4.923322e-10
-9.960, -4.929955e-10
-9.960, -4.934071e-10
-9.960, -4.929074e-10
-9.960, -4.93258e-10
-9.960, -4.92869e-10
-9.960, -4.943198e-10
-9.960, -4.931239e-10
-9.960, -4.940309e-10
-9.960, -4.942556e-10
-9.950, -4.915962e-10
-9.950, -4.925349e-10
-9.950, -4.923505e-10
-9.950, -4.902204e-10
-9.950, -4.911385e-10
-9.950, -4.904644e-10
-9.950, -4.902286e-10
-9.950, -4.871004e-10
-9.950, -4.866461e-10
-9.950, -4.826612e-10
-9.940, -4.844821e-10
-9.940, -4.838139e-10
-9.940, -4.829132e-10
-9.940, -4.831116e-10
-9.940, -4.837458e-10
-9.940, -4.842676e-10
-9.940, -4.854175e-10
-9.940, -4.863874e-10
-9.940, -4.867264e-10
-9.940, -4.88763e-10
-9.930, -4.960119e-10
-9.930, -4.961332e-10
-9.930, -4.959599e-10
-9.930, -4.960403e-10
-9.930, -4.955314e-10
-9.930, -4.952767e-10
-9.930, -4.952315e-10
-9.930, -4.949165e-10
-9.930, -4.943218e-10
-9.930, -4.935142e-10
-9.920, -4.93996e-10
-9.920, -4.930256e-10
-9.920, -4.930432e-10
-9.920, -4.930739e-10
-9.920, -4.933124e-10
-9.920, -4.924626e-10
-9.920, -4.92805e-10
-9.920, -4.932792e-10
-9.920, -4.926606e-10
-9.920, -4.926646e-10
-9.910, -4.931169e-10
-9.910, -4.931047e-10
-9.910, -4.925891e-10
-9.910, -4.931189e-10
-9.910, -4.917354e-10
-9.910, -4.934791e-10
-9.910, -4.928542e-10
-9.910, -4.925008e-10
-9.910, -4.925903e-10
-9.910, -4.925271e-10
-9.900, -4.947233e-10
-9.900, -4.954515e-10
-9.900, -4.959329e-10
-9.900, -4.962127e-10
-9.900, -4.950811e-10
-9.900, -4.948285e-10
-9.900, -4.948295e-10
-9.900, -4.939855e-10
-9.900, -4.940549e-10
-9.900, -4.958637e-10
-9.890, -4.946606e-10
-9.890, -4.946035e-10
-9.890, -4.952517e-10
-9.890, -4.941691e-10
-9.890, -4.94218e-10
-9.890, -4.941932e-10
-9.890, -4.930304e-10
-9.890, -4.936527e-10
-9.890, -4.941821e-10
-9.890, -4.935491e-10
-9.880, -4.945305e-10
-9.880, -4.940979e-10
-9.880, -4.946871e-10
-9.880, -4.937127e-10
-9.880, -4.945094e-10
-9.880, -4.935293e-10
-9.880, -4.935379e-10
-9.880, -4.939094e-10
-9.880, -4.930365e-10
-9.880, -4.937378e-10
-9.870, -4.944751e-10
-9.870, -4.940798e-10
-9.870, -4.936385e-10
-9.870, -4.926843e-10
-9.870, -4.93854e-10
-9.870, -4.932261e-10
-9.870, -4.924829e-10
-9.870, -4.937437e-10
-9.870, -4.943709e-10
-9.870, -4.928531e-10
-9.860, -4.937188e-10
-9.860, -4.942222e-10
-9.860, -4.939628e-10
-9.860, -4.945906e-10
-9.860, -4.936443e-10
-9.860, -4.923374e-10
-9.860, -4.949817e-10
-9.860, -4.944893e-10
-9.860, -4.934871e-10
-9.860, -4.937147e-10
-9.850, -4.91306e-10
-9.850, -4.905445e-10
-9.850, -4.888543e-10
-9.850, -4.890957e-10
-9.850, -4.898706e-10
-9.850, -4.894669e-10
-9.850, -4.882465e-10
-9.850, -4.890167e-10
-9.850, -4.890158e-10
-9.850, -4.888439e-10
-9.840, -4.891451e-10
-9.840, -4.877088e-10
-9.840, -4.889297e-10
-9.840, -4.889746e-10
-9.840, -4.87537e-10
-9.840, -4.894733e-10
-9.840, -4.890237e-10
-9.840, -4.893156e-10
-9.840, -4.890027e-10
-9.840, -4.891511e-10
-9.830, -4.883712e-10
-9.830, -4.875311e-10
-9.830, -4.884158e-10
-9.830, -4.862248e-10
-9.830, -4.877156e-10
-9.830, -4.88412e-10
-9.830, -4.866613e-10
-9.830, -4.885161e-10
-9.830, -4.878539e-10
-9.830, -4.879543e-10
-9.820, -4.87234e-10
-9.820, -4.878208e-10
-9.820, -4.873816e-10
-9.820, -4.862116e-10
-9.820, -4.874134e-10
-9.820, -4.88254e-10
-9.820, -4.878009e-10
-9.820, -4.869108e-10
-9.820, -4.872781e-10
-9.820, -4.877324e-10
-9.810, -4.872558e-10
-9.810, -4.864856e-10
-9.810, -4.88092e-10
-9.810, -4.870809e-10
-9.810, -4.873714e-10
-9.810, -4.871573e-10
-9.810, -4.879855e-10
-9.810, -4.868698e-10
-9.810, -4.87076e-10
-9.810, -4.874205e-10
-9.800, -4.901373e-10
-9.800, -4.884789e-10
-9.800, -4.887247e-10
-9.800, -4.887581e-10
-9.800, -4.887877e-10
-9.800, -4.873131e-10
-9.800, -4.893559e-10
-9.800, -4.881832e-10
-9.800, -4.887756e-10
-9.800, -4.885452e-10
-9.790, -4.871445e-10
-9.790, -4.87561e-10
-9.790, -4.875919e-10
-9.790, -4.854815e-10
-9.790, -4.874557e-10
-9.790, -4.871177e-10
-9.790, -4.866139e-10
-9.790, -4.857824e-10
-9.790, -4.85436e-10
-9.790, -4.860239e-10
-9.780, -4.872914e-10
-9.780, -4.868158e-10
-9.780, -4.867815e-10
-9.780, -4.874614e-10
-9.780, -4.875311e-10
-9.780, -4.87534e-10
-9.780, -4.88153e-10
-9.780, -4.874706e-10
-9.780, -4.86587e-10
-9.780, -4.876904e-10
-9.770, -4.856369e-10
-9.770, -4.86563e-10
-9.770, -4.872079e-10
-9.770, -4.869588e-10
-9.770, -4.865809e-10
-9.770, -4.865971e-10
-9.770, -4.859456e-10
-9.770, -4.841129e-10
-9.770, -4.848252e-10
-9.770, -4.843889e-10
-9.760, -4.890398e-10
-9.760, -4.891039e-10
-9.760, -4.891621e-10
-9.760, -4.88518e-10
-9.760, -4.896268e-10
-9.760, -4.895814e-10
-9.760, -4.894811e-10
-9.760, -4.89741e-10
-9.760, -4.887608e-10
-9.760, -4.899373e-10
-9.750, -4.883404e-10
-9.750, -4.877657e-10
-9.750, -4.871425e-10
-9.750, -4.884064e-10
-9.750, -4.884078e-10
-9.750, -4.871506e-10
-9.750, -4.873494e-10
-9.750, -4.885782e-10
-9.750, -4.876292e-10
-9.750, -4.89185e-10
-9.740, -4.869479e-10
-9.740, -4.870791e-10
-9.740, -4.875529e-10
-9.740, -4.867005e-10
-9.740, -4.861021e-10
-9.740, -4.871737e-10
-9.740, -4.862355e-10
-9.740, -4.859739e-10
-9.740, -4.862705e-10
-9.740, -4.874033e-10
-9.730, -4.788722e-10
-9.730, -4.770701e-10
-9.730, -4.748802e-10
-9.730, -4.755997e-10
-9.730, -4.727195e-10
-9.730, -4.766912e-10
-9.730, -4.772861e-10
-9.730, -4.749552e-10
-9.730, -4.77264e-10
-9.730, -4.772489e-10
-9.720, -4.827805e-10
-9.720, -4.824418e-10
-9.720, -4.814893e-10
-9.720, -4.792993e-10
-9.720, -4.810552e-10
-9.720, -4.825056e-10
-9.720, -4.814061e-10
-9.720, -4.822337e-10
-9.720, -4.817251e-10
-9.720, -4.823741e-10
