voltage (V), photocurrent (A)
-20.000, -2.359999e-09
-20.000, -2.359359e-09
-20.000, -2.358933e-09
-20.000, -2.355527e-09
-20.000, -2.355524e-09
-20.000, -2.356412e-09
-20.000, -2.355041e-09
-20.000, -2.353762e-09
-20.000, -2.354029e-09
-20.000, -2.352177e-09
-19.900, -2.331967e-09
-19.900, -2.334229e-09
-19.900, -2.334514e-09
-19.900, -2.331263e-09
-19.900, -2.330257e-09
-19.900, -2.331646e-09
-19.900, -2.33135e-09
-19.900, -2.329318e-09
-19.900, -2.331611e-09
-19.900, -2.331016e-09
-19.800, -2.321515e-09
-19.800, -2.319808e-09
-19.800, -2.319963e-09
-19.800, -2.32181e-09
-19.800, -2.319682e-09
-19.800, -2.318338e-09
-19.800, -2.319602e-09
-19.800, -2.319375e-09
-19.800, -2.317452e-09
-19.800, -2.32031e-09
-19.700, -2.312915e-09
-19.700, -2.309845e-09
-19.700, -2.311416e-09
-19.700, -2.314777e-09
-19.700, -2.314614e-09
-19.700, -2.313525e-09
-19.700, -2.314658e-09
-19.700, -2.315535e-09
-19.700, -2.31453e-09
-19.700, -2.31427e-09
-19.600, -2.307992e-09
-19.600, -2.30912e-09
-19.600, -2.308926e-09
-19.600, -2.308472e-09
-19.600, -2.312267e-09
-19.600, -2.311474e-09
-19.600, -2.310825e-09
-19.600, -2.312446e-09
-19.600, -2.312787e-09
-19.600, -2.312116e-09
-19.500, -2.308118e-09
-19.500, -2.310095e-09
-19.500, -2.30989e-09
-19.500, -2.308796e-09
-19.500, -2.3096e-09
-19.500, -2.30978e-09
-19.500, -2.307884e-09
-19.500, -2.307199e-09
-19.500, -2.307235e-09
-19.500, -2.307423e-09
-19.400, -2.306792e-09
-19.400, -2.308292e-09
-19.400, -2.306564e-09
-19.400, -2.306163e-09
-19.400, -2.308971e-09
-19.400, -2.309153e-09
-19.400, -2.308e-09
-19.400, -2.308395e-09
-19.400, -2.309362e-09
-19.400, -2.306982e-09
-19.300, -2.308816e-09
-19.300, -2.307051e-09
-19.300, -2.306488e-09
-19.300, -2.308339e-09
-19.300, -2.309125e-09
-19.300, -2.308167e-09
-19.300, -2.312278e-09
-19.300, -2.326461e-09
-19.300, -2.282346e-09
-19.300, -2.285204e-09
-19.200, -2.303335e-09
-19.200, -2.30356e-09
-19.200, -2.304093e-09
-19.200, -2.30523e-09
-19.200, -2.302166e-09
-19.200, -2.303422e-09
-19.200, -2.303792e-09
-19.200, -2.301873e-09
-19.200, -2.30194e-09
-19.200, -2.303682e-09
-19.100, -2.298501e-09
-19.100, -2.298945e-09
-19.100, -2.297967e-09
-19.100, -2.294881e-09
-19.100, -2.297138e-09
-19.100, -2.296272e-09
-19.100, -2.292805e-09
-19.100, -2.294576e-09
-19.100, -2.292688e-09
-19.100, -2.291133e-09
-19.000, -2.292597e-09
-19.000, -2.289904e-09
-19.000, -2.290508e-09
-19.000, -2.289812e-09
-19.000, -2.287034e-09
-19.000, -2.282532e-09
-19.000, -2.280935e-09
-19.000, -2.284299e-09
-19.000, -2.282099e-09
-19.000, -2.286494e-09
-18.900, -2.276582e-09
-18.900, -2.276206e-09
-18.900, -2.279521e-09
-18.900, -2.28022e-09
-18.900, -2.278908e-09
-18.900, -2.280655e-09
-18.900, -2.278947e-09
-18.900, -2.279021e-09
-18.900, -2.279453e-09
-18.900, -2.280927e-09
-18.800, -2.276267e-09
-18.800, -2.279344e-09
-18.800, -2.278692e-09
-18.800, -2.277513e-09
-18.800, -2.276565e-09
-18.800, -2.278296e-09
-18.800, -2.27919e-09
-18.800, -2.280226e-09
-18.800, -2.281064e-09
-18.800, -2.281314e-09
-18.700, -2.272337e-09
-18.700, -2.272255e-09
-18.700, -2.27149e-09
-18.700, -2.27154e-09
-18.700, -2.272309e-09
-18.700, -2.269921e-09
-18.700, -2.269476e-09
-18.700, -2.27141e-09
-18.700, -2.269762e-09
-18.700, -2.268217e-09
-18.600, -2.251481e-09
-18.600, -2.267942e-09
-18.600, -2.275966e-09
-18.600, -2.278293e-09
-18.600, -2.280203e-09
-18.600, -2.285029e-09
-18.600, -2.285915e-09
-18.600, -2.286184e-09
-18.600, -2.288113e-09
-18.600, -2.289234e-09
-18.500, -2.298809e-09
-18.500, -2.281668e-09
-18.500, -2.273484e-09
-18.500, -2.300112e-09
-18.500, -2.282987e-09
-18.500, -2.294859e-09
-18.500, -2.297279e-09
-18.500, -2.292011e-09
-18.500, -2.290954e-09
-18.500, -2.293578e-09
-18.400, -2.277959e-09
-18.400, -2.275985e-09
-18.400, -2.269818e-09
-18.400, -2.274053e-09
-18.400, -2.275169e-09
-18.400, -2.275088e-09
-18.400, -2.276777e-09
-18.400, -2.274732e-09
-18.400, -2.275787e-09
-18.400, -2.276331e-09
-18.300, -2.272938e-09
-18.300, -2.272752e-09
-18.300, -2.275226e-09
-18.300, -2.274798e-09
-18.300, -2.271362e-09
-18.300, -2.272315e-09
-18.300, -2.273756e-09
-18.300, -2.272484e-09
-18.300, -2.270681e-09
-18.300, -2.272648e-09
-18.200, -2.27143e-09
-18.200, -2.270842e-09
-18.200, -2.273259e-09
-18.200, -2.272979e-09
-18.200, -2.272685e-09
-18.200, -2.275487e-09
-18.200, -2.275229e-09
-18.200, -2.276727e-09
-18.200, -2.276024e-09
-18.200, -2.277157e-09
-18.100, -2.275665e-09
-18.100, -2.275037e-09
-18.100, -2.275607e-09
-18.100, -2.275157e-09
-18.100, -2.273666e-09
-18.100, -2.275838e-09
-18.100, -2.276864e-09
-18.100, -2.274034e-09
-18.100, -2.275785e-09
-18.100, -2.275879e-09
-18.000, -2.271184e-09
-18.000, -2.271477e-09
-18.000, -2.268724e-09
-18.000, -2.27071e-09
-18.000, -2.2708e-09
-18.000, -2.272221e-09
-18.000, -2.262854e-09
-18.000, -2.260116e-09
-18.000, -2.255946e-09
-18.000, -2.2531e-09
-17.900, -2.317187e-09
-17.900, -2.314559e-09
-17.900, -2.317756e-09
-17.900, -2.314777e-09
-17.900, -2.318103e-09
-17.900, -2.32333e-09
-17.900, -2.31828e-09
-17.900, -2.316319e-09
-17.900, -2.320433e-09
-17.900, -2.319408e-09
-17.800, -2.332164e-09
-17.800, -2.32923e-09
-17.800, -2.327417e-09
-17.800, -2.339546e-09
-17.800, -2.34366e-09
-17.800, -2.341557e-09
-17.800, -2.330015e-09
-17.800, -2.334019e-09
-17.800, -2.329861e-09
-17.800, -2.334089e-09
-17.700, -2.335342e-09
-17.700, -2.334627e-09
-17.700, -2.326058e-09
-17.700, -2.3318e-09
-17.700, -2.329125e-09
-17.700, -2.320441e-09
-17.700, -2.330683e-09
-17.700, -2.340516e-09
-17.700, -2.328321e-09
-17.700, -2.329301e-09
-17.600, -2.343219e-09
-17.600, -2.334068e-09
-17.600, -2.355584e-09
-17.600, -2.354372e-09
-17.600, -2.377057e-09
-17.600, -2.372104e-09
-17.600, -2.382137e-09
-17.600, -2.3905e-09
-17.600, -2.388183e-09
-17.600, -2.374293e-09
-17.500, -2.381668e-09
-17.500, -2.374808e-09
-17.500, -2.388796e-09
-17.500, -2.374087e-09
-17.500, -2.38328e-09
-17.500, -2.395919e-09
-17.500, -2.392122e-09
-17.500, -2.380997e-09
-17.500, -2.37937e-09
-17.500, -2.390013e-09
-17.400, -2.377692e-09
-17.400, -2.381315e-09
-17.400, -2.374621e-09
-17.400, -2.370796e-09
-17.400, -2.380567e-09
-17.400, -2.367303e-09
-17.400, -2.370488e-09
-17.400, -2.353525e-09
-17.400, -2.339156e-09
-17.400, -2.347729e-09
-17.300, -2.354707e-09
-17.300, -2.353564e-09
-17.300, -2.342877e-09
-17.300, -2.366574e-09
-17.300, -2.34726e-09
-17.300, -2.347705e-09
-17.300, -2.34443e-09
-17.300, -2.341872e-09
-17.300, -2.347924e-09
-17.300, -2.352323e-09
-17.200, -2.359192e-09
-17.200, -2.366053e-09
-17.200, -2.356689e-09
-17.200, -2.368077e-09
-17.200, -2.363738e-09
-17.200, -2.362676e-09
-17.200, -2.365153e-09
-17.200, -2.365217e-09
-17.200, -2.377937e-09
-17.200, -2.364531e-09
-17.100, -2.33608e-09
-17.100, -2.322775e-09
-17.100, -2.325704e-09
-17.100, -2.321691e-09
-17.100, -2.333415e-09
-17.100, -2.325241e-09
-17.100, -2.328753e-09
-17.100, -2.331765e-09
-17.100, -2.342569e-09
-17.100, -2.327784e-09
-17.000, -2.331592e-09
-17.000, -2.340453e-09
-17.000, -2.328803e-09
-17.000, -2.338616e-09
-17.000, -2.342414e-09
-17.000, -2.337153e-09
-17.000, -2.34302e-09
-17.000, -2.344184e-09
-17.000, -2.337312e-09
-17.000, -2.328788e-09
-16.900, -2.343766e-09
-16.900, -2.351251e-09
-16.900, -2.296281e-09
-16.900, -2.283654e-09
-16.900, -2.281727e-09
-16.900, -2.291086e-09
-16.900, -2.289976e-09
-16.900, -2.289358e-09
-16.900, -2.285704e-09
-16.900, -2.300456e-09
-16.800, -2.277982e-09
-16.800, -2.278237e-09
-16.800, -2.276386e-09
-16.800, -2.280116e-09
-16.800, -2.280461e-09
-16.800, -2.277434e-09
-16.800, -2.279016e-09
-16.800, -2.27815e-09
-16.800, -2.278403e-09
-16.800, -2.277563e-09
-16.700, -2.265844e-09
-16.700, -2.265762e-09
-16.700, -2.268306e-09
-16.700, -2.268962e-09
-16.700, -2.267386e-09
-16.700, -2.269109e-09
-16.700, -2.269497e-09
-16.700, -2.261934e-09
-16.700, -2.258624e-09
-16.700, -2.254436e-09
-16.600, -2.238964e-09
-16.600, -2.240083e-09
-16.600, -2.239987e-09
-16.600, -2.240453e-09
-16.600, -2.240862e-09
-16.600, -2.242533e-09
-16.600, -2.242564e-09
-16.600, -2.240826e-09
-16.600, -2.241043e-09
-16.600, -2.240048e-09
-16.500, -2.235233e-09
-16.500, -2.235081e-09
-16.500, -2.234462e-09
-16.500, -2.235518e-09
-16.500, -2.235768e-09
-16.500, -2.23495e-09
-16.500, -2.23474e-09
-16.500, -2.236738e-09
-16.500, -2.235207e-09
-16.500, -2.235397e-09
-16.400, -2.239425e-09
-16.400, -2.239537e-09
-16.400, -2.23801e-09
-16.400, -2.237498e-09
-16.400, -2.239394e-09
-16.400, -2.296196e-09
-16.400, -2.259545e-09
-16.400, -2.259226e-09
-16.400, -2.268879e-09
-16.400, -2.274289e-09
-16.300, -2.28738e-09
-16.300, -2.285147e-09
-16.300, -2.291353e-09
-16.300, -2.283198e-09
-16.300, -2.286811e-09
-16.300, -2.265316e-09
-16.300, -2.277414e-09
-16.300, -2.271791e-09
-16.300, -2.290034e-09
-16.300, -2.292572e-09
-16.200, -2.2609e-09
-16.200, -2.271535e-09
-16.200, -2.255103e-09
-16.200, -2.254671e-09
-16.200, -2.258437e-09
-16.200, -2.25805e-09
-16.200, -2.253601e-09
-16.200, -2.262801e-09
-16.200, -2.27414e-09
-16.200, -2.261034e-09
-16.100, -2.249256e-09
-16.100, -2.256517e-09
-16.100, -2.261894e-09
-16.100, -2.258145e-09
-16.100, -2.260474e-09
-16.100, -2.257666e-09
-16.100, -2.257881e-09
-16.100, -2.255688e-09
-16.100, -2.255186e-09
-16.100, -2.258509e-09
-16.000, -2.25758e-09
-16.000, -2.251205e-09
-16.000, -2.25415e-09
-16.000, -2.259347e-09
-16.000, -2.264825e-09
-16.000, -2.254468e-09
-16.000, -2.259388e-09
-16.000, -2.266352e-09
-16.000, -2.257355e-09
-16.000, -2.258269e-09
-15.900, -2.240504e-09
-15.900, -2.240305e-09
-15.900, -2.242706e-09
-15.900, -2.241414e-09
-15.900, -2.240411e-09
-15.900, -2.243021e-09
-15.900, -2.241371e-09
-15.900, -2.24094e-09
-15.900, -2.241508e-09
-15.900, -2.240363e-09
-15.800, -2.233128e-09
-15.800, -2.235519e-09
-15.800, -2.235333e-09
-15.800, -2.236266e-09
-15.800, -2.234776e-09
-15.800, -2.237533e-09
-15.800, -2.236844e-09
-15.800, -2.23459e-09
-15.800, -2.236845e-09
-15.800, -2.23858e-09
-15.700, -2.236743e-09
-15.700, -2.236928e-09
-15.700, -2.236765e-09
-15.700, -2.237368e-09
-15.700, -2.237506e-09
-15.700, -2.235994e-09
-15.700, -2.235708e-09
-15.700, -2.236746e-09
-15.700, -2.237147e-09
-15.700, -2.235294e-09
-15.600, -2.230319e-09
-15.600, -2.230495e-09
-15.600, -2.229794e-09
-15.600, -2.226903e-09
-15.600, -2.228884e-09
-15.600, -2.231084e-09
-15.600, -2.226481e-09
-15.600, -2.228281e-09
-15.600, -2.230327e-09
-15.600, -2.230825e-09
-15.500, -2.228851e-09
-15.500, -2.229728e-09
-15.500, -2.227914e-09
-15.500, -2.226155e-09
-15.500, -2.227123e-09
-15.500, -2.227799e-09
-15.500, -2.228767e-09
-15.500, -2.224608e-09
-15.500, -2.226596e-09
-15.500, -2.227173e-09
-15.400, -2.217852e-09
-15.400, -2.221215e-09
-15.400, -2.216725e-09
-15.400, -2.218723e-09
-15.400, -2.218042e-09
-15.400, -2.2153e-09
-15.400, -2.217599e-09
-15.400, -2.217397e-09
-15.400, -2.216953e-09
-15.400, -2.215694e-09
-15.300, -2.215188e-09
-15.300, -2.215065e-09
-15.300, -2.213708e-09
-15.300, -2.213239e-09
-15.300, -2.216005e-09
-15.300, -2.212299e-09
-15.300, -2.222002e-09
-15.300, -2.221539e-09
-15.300, -2.219903e-09
-15.300, -2.219361e-09
-15.200, -2.214882e-09
-15.200, -2.216659e-09
-15.200, -2.216397e-09
-15.200, -2.214922e-09
-15.200, -2.217639e-09
-15.200, -2.217362e-09
-15.200, -2.21334e-09
-15.200, -2.217692e-09
-15.200, -2.219485e-09
-15.200, -2.216133e-09
-15.100, -2.216876e-09
-15.100, -2.219665e-09
-15.100, -2.218697e-09
-15.100, -2.219865e-09
-15.100, -2.219835e-09
-15.100, -2.220233e-09
-15.100, -2.218709e-09
-15.100, -2.219515e-09
-15.100, -2.222631e-09
-15.100, -2.221332e-09
-15.000, -2.238845e-09
-15.000, -2.246754e-09
-15.000, -2.249638e-09
-15.000, -2.246234e-09
-15.000, -2.242554e-09
-15.000, -2.246173e-09
-15.000, -2.246508e-09
-15.000, -2.242911e-09
-15.000, -2.246165e-09
-15.000, -2.248433e-09
-14.900, -2.246815e-09
-14.900, -2.254157e-09
-14.900, -2.243199e-09
-14.900, -2.236017e-09
-14.900, -2.249119e-09
-14.900, -2.25224e-09
-14.900, -2.245751e-09
-14.900, -2.247008e-09
-14.900, -2.24792e-09
-14.900, -2.248234e-09
-14.800, -2.24942e-09
-14.800, -2.250786e-09
-14.800, -2.251731e-09
-14.800, -2.251831e-09
-14.800, -2.250273e-09
-14.800, -2.250709e-09
-14.800, -2.250509e-09
-14.800, -2.248526e-09
-14.800, -2.247732e-09
-14.800, -2.248668e-09
-14.700, -2.24825e-09
-14.700, -2.247875e-09
-14.700, -2.249382e-09
-14.700, -2.250524e-09
-14.700, -2.24968e-09
-14.700, -2.252007e-09
-14.700, -2.252587e-09
-14.700, -2.250791e-09
-14.700, -2.248961e-09
-14.700, -2.250464e-09
-14.600, -2.249459e-09
-14.600, -2.251647e-09
-14.600, -2.250911e-09
-14.600, -2.25063e-09
-14.600, -2.251819e-09
-14.600, -2.25153e-09
-14.600, -2.251582e-09
-14.600, -2.251852e-09
-14.600, -2.252107e-09
-14.600, -2.250096e-09
-14.500, -2.294631e-09
-14.500, -2.285659e-09
-14.500, -2.283077e-09
-14.500, -2.289954e-09
-14.500, -2.288565e-09
-14.500, -2.278539e-09
-14.500, -2.294583e-09
-14.500, -2.289738e-09
-14.500, -2.276204e-09
-14.500, -2.274639e-09
-14.400, -2.26976e-09
-14.400, -2.268859e-09
-14.400, -2.276577e-09
-14.400, -2.271521e-09
-14.400, -2.270292e-09
-14.400, -2.268191e-09
-14.400, -2.275234e-09
-14.400, -2.272972e-09
-14.400, -2.270048e-09
-14.400, -2.271627e-09
-14.300, -2.267217e-09
-14.300, -2.266936e-09
-14.300, -2.264608e-09
-14.300, -2.270833e-09
-14.300, -2.267804e-09
-14.300, -2.274858e-09
-14.300, -2.266779e-09
-14.300, -2.270517e-09
-14.300, -2.270242e-09
-14.300, -2.27113e-09
-14.200, -2.265996e-09
-14.200, -2.269031e-09
-14.200, -2.272903e-09
-14.200, -2.270302e-09
-14.200, -2.264923e-09
-14.200, -2.267214e-09
-14.200, -2.270167e-09
-14.200, -2.261331e-09
-14.200, -2.267985e-09
-14.200, -2.275251e-09
-14.100, -2.265303e-09
-14.100, -2.264333e-09
-14.100, -2.267101e-09
-14.100, -2.266253e-09
-14.100, -2.268911e-09
-14.100, -2.265877e-09
-14.100, -2.264025e-09
-14.100, -2.262537e-09
-14.100, -2.27372e-09
-14.100, -2.268369e-09
-14.000, -2.278116e-09
-14.000, -2.268135e-09
-14.000, -2.269787e-09
-14.000, -2.27118e-09
-14.000, -2.282158e-09
-14.000, -2.259345e-09
-14.000, -2.274949e-09
-14.000, -2.267347e-09
-14.000, -2.274908e-09
-14.000, -2.2763e-09
-13.900, -2.269728e-09
-13.900, -2.27162e-09
-13.900, -2.263324e-09
-13.900, -2.265648e-09
-13.900, -2.264498e-09
-13.900, -2.264396e-09
-13.900, -2.271515e-09
-13.900, -2.269283e-09
-13.900, -2.26436e-09
-13.900, -2.273641e-09
-13.800, -2.277959e-09
-13.800, -2.267493e-09
-13.800, -2.264595e-09
-13.800, -2.28121e-09
-13.800, -2.283024e-09
-13.800, -2.270205e-09
-13.800, -2.277823e-09
-13.800, -2.284611e-09
-13.800, -2.271301e-09
-13.800, -2.280115e-09
-13.700, -2.280406e-09
-13.700, -2.268821e-09
-13.700, -2.27107e-09
-13.700, -2.277894e-09
-13.700, -2.278585e-09
-13.700, -2.28318e-09
-13.700, -2.285358e-09
-13.700, -2.27502e-09
-13.700, -2.282885e-09
-13.700, -2.266407e-09
-13.600, -2.275293e-09
-13.600, -2.269191e-09
-13.600, -2.274112e-09
-13.600, -2.279518e-09
-13.600, -2.285226e-09
-13.600, -2.276139e-09
-13.600, -2.269743e-09
-13.600, -2.271809e-09
-13.600, -2.271767e-09
-13.600, -2.270975e-09
-13.500, -2.269005e-09
-13.500, -2.267722e-09
-13.500, -2.27175e-09
-13.500, -2.283734e-09
-13.500, -2.270505e-09
-13.500, -2.271097e-09
-13.500, -2.275944e-09
-13.500, -2.276467e-09
-13.500, -2.264235e-09
-13.500, -2.292104e-09
-13.400, -2.277444e-09
-13.400, -2.287206e-09
-13.400, -2.280264e-09
-13.400, -2.286231e-09
-13.400, -2.274279e-09
-13.400, -2.275358e-09
-13.400, -2.276116e-09
-13.400, -2.276062e-09
-13.400, -2.276423e-09
-13.400, -2.269133e-09
-13.300, -2.199745e-09
-13.300, -2.215404e-09
-13.300, -2.21855e-09
-13.300, -2.219013e-09
-13.300, -2.219895e-09
-13.300, -2.219689e-09
-13.300, -2.221806e-09
-13.300, -2.22146e-09
-13.300, -2.221885e-09
-13.300, -2.21794e-09
-13.200, -2.216219e-09
-13.200, -2.214367e-09
-13.200, -2.217176e-09
-13.200, -2.216725e-09
-13.200, -2.216208e-09
-13.200, -2.217091e-09
-13.200, -2.218528e-09
-13.200, -2.218409e-09
-13.200, -2.216419e-09
-13.200, -2.219262e-09
-13.100, -2.211601e-09
-13.100, -2.209772e-09
-13.100, -2.21016e-09
