voltage (V), photocurrent (A)
-20.000, -1.692974e-09
-20.000, -1.690337e-09
-20.000, -1.697384e-09
-20.000, -1.697375e-09
-20.000, -1.691611e-09
-20.000, -1.69418e-09
-20.000, -1.697067e-09
-20.000, -1.697582e-09
-20.000, -1.698049e-09
-20.000, -1.699081e-09
-19.900, -1.682276e-09
-19.900, -1.682096e-09
-19.900, -1.679609e-09
-19.900, -1.681183e-09
-19.900, -1.680091e-09
-19.900, -1.701312e-09
-19.900, -1.70729e-09
-19.900, -1.703515e-09
-19.900, -1.698297e-09
-19.900, -1.700163e-09
-19.800, -1.702614e-09
-19.800, -1.703805e-09
-19.800, -1.697376e-09
-19.800, -1.697389e-09
-19.800, -1.700712e-09
-19.800, -1.704159e-09
-19.800, -1.701385e-09
-19.800, -1.704561e-09
-19.800, -1.701097e-09
-19.800, -1.70385e-09
-19.700, -1.708386e-09
-19.700, -1.707833e-09
-19.700, -1.708841e-09
-19.700, -1.708909e-09
-19.700, -1.707856e-09
-19.700, -1.709028e-09
-19.700, -1.709156e-09
-19.700, -1.708544e-09
-19.700, -1.707782e-09
-19.700, -1.701836e-09
-19.600, -1.702505e-09
-19.600, -1.699534e-09
-19.600, -1.697219e-09
-19.600, -1.700642e-09
-19.600, -1.704882e-09
-19.600, -1.698297e-09
-19.600, -1.701799e-09
-19.600, -1.698347e-09
-19.600, -1.696116e-09
-19.600, -1.699294e-09
-19.500, -1.684572e-09
-19.500, -1.684398e-09
-19.500, -1.685065e-09
-19.500, -1.684355e-09
-19.500, -1.68578e-09
-19.500, -1.684682e-09
-19.500, -1.685058e-09
-19.500, -1.684787e-09
-19.500, -1.684709e-09
-19.500, -1.685244e-09
-19.400, -1.681025e-09
-19.400, -1.682289e-09
-19.400, -1.680957e-09
-19.400, -1.680541e-09
-19.400, -1.683102e-09
-19.400, -1.682167e-09
-19.400, -1.682637e-09
-19.400, -1.682766e-09
-19.400, -1.683375e-09
-19.400, -1.682166e-09
-19.300, -1.671032e-09
-19.300, -1.672645e-09
-19.300, -1.671445e-09
-19.300, -1.670408e-09
-19.300, -1.671718e-09
-19.300, -1.67273e-09
-19.300, -1.67022e-09
-19.300, -1.671777e-09
-19.300, -1.67133e-09
-19.300, -1.670889e-09
-19.200, -1.680366e-09
-19.200, -1.679821e-09
-19.200, -1.68014e-09
-19.200, -1.680359e-09
-19.200, -1.679247e-09
-19.200, -1.679946e-09
-19.200, -1.679927e-09
-19.200, -1.677834e-09
-19.200, -1.679917e-09
-19.200, -1.680942e-09
-19.100, -1.684743e-09
-19.100, -1.683004e-09
-19.100, -1.681652e-09
-19.100, -1.682935e-09
-19.100, -1.683621e-09
-19.100, -1.685233e-09
-19.100, -1.689891e-09
-19.100, -1.674884e-09
-19.100, -1.668956e-09
-19.100, -1.664368e-09
-19.000, -1.713851e-09
-19.000, -1.71352e-09
-19.000, -1.714717e-09
-19.000, -1.713622e-09
-19.000, -1.712253e-09
-19.000, -1.711367e-09
-19.000, -1.711641e-09
-19.000, -1.709104e-09
-19.000, -1.712749e-09
-19.000, -1.711414e-09
-18.900, -1.717027e-09
-18.900, -1.716268e-09
-18.900, -1.716292e-09
-18.900, -1.713958e-09
-18.900, -1.716739e-09
-18.900, -1.715433e-09
-18.900, -1.715904e-09
-18.900, -1.712587e-09
-18.900, -1.716076e-09
-18.900, -1.716093e-09
-18.800, -1.710142e-09
-18.800, -1.711974e-09
-18.800, -1.709157e-09
-18.800, -1.709871e-09
-18.800, -1.704223e-09
-18.800, -1.703622e-09
-18.800, -1.702483e-09
-18.800, -1.702595e-09
-18.800, -1.70212e-09
-18.800, -1.704568e-09
-18.700, -1.70866e-09
-18.700, -1.713421e-09
-18.700, -1.710022e-09
-18.700, -1.710141e-09
-18.700, -1.713475e-09
-18.700, -1.709145e-09
-18.700, -1.710734e-09
-18.700, -1.713752e-09
-18.700, -1.711818e-09
-18.700, -1.715458e-09
-18.600, -1.705416e-09
-18.600, -1.704265e-09
-18.600, -1.705818e-09
-18.600, -1.704961e-09
-18.600, -1.70528e-09
-18.600, -1.711037e-09
-18.600, -1.705632e-09
-18.600, -1.706996e-09
-18.600, -1.705957e-09
-18.600, -1.703436e-09
-18.500, -1.697731e-09
-18.500, -1.70209e-09
-18.500, -1.698804e-09
-18.500, -1.698245e-09
-18.500, -1.698263e-09
-18.500, -1.696647e-09
-18.500, -1.697631e-09
-18.500, -1.700949e-09
-18.500, -1.718224e-09
-18.500, -1.695538e-09
-18.400, -1.703271e-09
-18.400, -1.6995e-09
-18.400, -1.700034e-09
-18.400, -1.702505e-09
-18.400, -1.701455e-09
-18.400, -1.699889e-09
-18.400, -1.701947e-09
-18.400, -1.701261e-09
-18.400, -1.698964e-09
-18.400, -1.696561e-09
-18.300, -1.706967e-09
-18.300, -1.704908e-09
-18.300, -1.702869e-09
-18.300, -1.704555e-09
-18.300, -1.703126e-09
-18.300, -1.702111e-09
-18.300, -1.703169e-09
-18.300, -1.705429e-09
-18.300, -1.702768e-09
-18.300, -1.704847e-09
-18.200, -1.701815e-09
-18.200, -1.701646e-09
-18.200, -1.701527e-09
-18.200, -1.701787e-09
-18.200, -1.70659e-09
-18.200, -1.702405e-09
-18.200, -1.701335e-09
-18.200, -1.703017e-09
-18.200, -1.70194e-09
-18.200, -1.701717e-09
-18.100, -1.697477e-09
-18.100, -1.700975e-09
-18.100, -1.703833e-09
-18.100, -1.705596e-09
-18.100, -1.697502e-09
-18.100, -1.706911e-09
-18.100, -1.699983e-09
-18.100, -1.698768e-09
-18.100, -1.703151e-09
-18.100, -1.701168e-09
-18.000, -1.704674e-09
-18.000, -1.698905e-09
-18.000, -1.695713e-09
-18.000, -1.700273e-09
-18.000, -1.700177e-09
-18.000, -1.694061e-09
-18.000, -1.700858e-09
-18.000, -1.699819e-09
-18.000, -1.702134e-09
-18.000, -1.69719e-09
-17.900, -1.692581e-09
-17.900, -1.70552e-09
-17.900, -1.696687e-09
-17.900, -1.698369e-09
-17.900, -1.692957e-09
-17.900, -1.706925e-09
-17.900, -1.694679e-09
-17.900, -1.695202e-09
-17.900, -1.693816e-09
-17.900, -1.6961e-09
-17.800, -1.700684e-09
-17.800, -1.695043e-09
-17.800, -1.695735e-09
-17.800, -1.697492e-09
-17.800, -1.694339e-09
-17.800, -1.699077e-09
-17.800, -1.698275e-09
-17.800, -1.693612e-09
-17.800, -1.700841e-09
-17.800, -1.696398e-09
-17.700, -1.696264e-09
-17.700, -1.694819e-09
-17.700, -1.692385e-09
-17.700, -1.69923e-09
-17.700, -1.696922e-09
-17.700, -1.698726e-09
-17.700, -1.698704e-09
-17.700, -1.6987e-09
-17.700, -1.696069e-09
-17.700, -1.696846e-09
-17.600, -1.700881e-09
-17.600, -1.699182e-09
-17.600, -1.702399e-09
-17.600, -1.700041e-09
-17.600, -1.701709e-09
-17.600, -1.698225e-09
-17.600, -1.701634e-09
-17.600, -1.696483e-09
-17.600, -1.705888e-09
-17.600, -1.700138e-09
-17.500, -1.697977e-09
-17.500, -1.695644e-09
-17.500, -1.705235e-09
-17.500, -1.698672e-09
-17.500, -1.701118e-09
-17.500, -1.693505e-09
-17.500, -1.699792e-09
-17.500, -1.693866e-09
-17.500, -1.694003e-09
-17.500, -1.696809e-09
-17.400, -1.695983e-09
-17.400, -1.694422e-09
-17.400, -1.68999e-09
-17.400, -1.694412e-09
-17.400, -1.689047e-09
-17.400, -1.690462e-09
-17.400, -1.696576e-09
-17.400, -1.68737e-09
-17.400, -1.691896e-09
-17.400, -1.690164e-09
