voltage (V), photocurrent (A)
-10.000, -2.124187e-09
-10.000, -2.125005e-09
-10.000, -2.118052e-09
-10.000, -2.120065e-09
-10.000, -2.124329e-09
-10.000, -2.119838e-09
-10.000, -2.117865e-09
-10.000, -2.123237e-09
-10.000, -2.119161e-09
-10.000, -2.116631e-09
-9.990, -2.115797e-09
-9.990, -2.120354e-09
-9.990, -2.118021e-09
-9.990, -2.116548e-09
-9.990, -2.117507e-09
-9.990, -2.118236e-09
-9.990, -2.117255e-09
-9.990, -2.11723e-09
-9.990, -2.119842e-09
-9.990, -2.119943e-09
-9.980, -2.121075e-09
-9.980, -2.116652e-09
-9.980, -2.119207e-09
-9.980, -2.12161e-09
-9.980, -2.117449e-09
-9.980, -2.115913e-09
-9.980, -2.121811e-09
-9.980, -2.118601e-09
-9.980, -2.116735e-09
-9.980, -2.123097e-09
-9.970, -2.117103e-09
-9.970, -2.118644e-09
-9.970, -2.119853e-09
-9.970, -2.114906e-09
-9.970, -2.115174e-09
-9.970, -2.12139e-09
-9.970, -2.117699e-09
-9.970, -2.116114e-09
-9.970, -2.120006e-09
-9.970, -2.119871e-09
-9.960, -2.119621e-09
-9.960, -2.115558e-09
-9.960, -2.119803e-09
-9.960, -2.119047e-09
-9.960, -2.116673e-09
-9.960, -2.116503e-09
-9.960, -2.1188e-09
-9.960, -2.120286e-09
-9.960, -2.115823e-09
-9.960, -2.11968e-09
-9.950, -2.11621e-09
-9.950, -2.11772e-09
-9.950, -2.116469e-09
-9.950, -2.113029e-09
-9.950, -2.116946e-09
-9.950, -2.11853e-09
-9.950, -2.113412e-09
-9.950, -2.118218e-09
-9.950, -2.121558e-09
-9.950, -2.117761e-09
-9.940, -2.114356e-09
-9.940, -2.114028e-09
-9.940, -2.119241e-09
-9.940, -2.116607e-09
-9.940, -2.114216e-09
-9.940, -2.118564e-09
-9.940, -2.117772e-09
-9.940, -2.116923e-09
-9.940, -2.118565e-09
-9.940, -2.119932e-09
-9.930, -2.119771e-09
-9.930, -2.114914e-09
-9.930, -2.115701e-09
-9.930, -2.120665e-09
-9.930, -2.1199e-09
-9.930, -2.11532e-09
-9.930, -2.119787e-09
-9.930, -2.120123e-09
-9.930, -2.115863e-09
-9.930, -2.116812e-09
-9.920, -2.11863e-09
-9.920, -2.119931e-09
-9.920, -2.114676e-09
-9.920, -2.115269e-09
-9.920, -2.120459e-09
-9.920, -2.116071e-09
-9.920, -2.115711e-09
-9.920, -2.120359e-09
-9.920, -2.118825e-09
-9.920, -2.114148e-09
-9.910, -2.114348e-09
-9.910, -2.113889e-09
-9.910, -2.120052e-09
-9.910, -2.119884e-09
-9.910, -2.115377e-09
-9.910, -2.119801e-09
-9.910, -2.118923e-09
-9.910, -2.118315e-09
-9.910, -2.117863e-09
-9.910, -2.120091e-09
-9.900, -2.117259e-09
-9.900, -2.115445e-09
-9.900, -2.118964e-09
-9.900, -2.119684e-09
-9.900, -2.118837e-09
-9.900, -2.115211e-09
-9.900, -2.121203e-09
-9.900, -2.12265e-09
-9.900, -2.117687e-09
-9.900, -2.119961e-09
-9.890, -2.116436e-09
-9.890, -2.115032e-09
-9.890, -2.119664e-09
-9.890, -2.117566e-09
-9.890, -2.116971e-09
-9.890, -2.11563e-09
-9.890, -2.118488e-09
-9.890, -2.117203e-09
-9.890, -2.114031e-09
-9.890, -2.116193e-09
-9.880, -2.117578e-09
-9.880, -2.113971e-09
-9.880, -2.114678e-09
-9.880, -2.117409e-09
-9.880, -2.117147e-09
-9.880, -2.11459e-09
-9.880, -2.118901e-09
-9.880, -2.119872e-09
-9.880, -2.113103e-09
-9.880, -2.114815e-09
-9.870, -2.120615e-09
-9.870, -2.117965e-09
-9.870, -2.121216e-09
-9.870, -2.120974e-09
-9.870, -2.115147e-09
-9.870, -2.118069e-09
-9.870, -2.122345e-09
-9.870, -2.120428e-09
-9.870, -2.11719e-09
-9.870, -2.12098e-09
-9.860, -2.120098e-09
-9.860, -2.11352e-09
-9.860, -2.116021e-09
-9.860, -2.119482e-09
-9.860, -2.115896e-09
-9.860, -2.116103e-09
-9.860, -2.121378e-09
-9.860, -2.116834e-09
-9.860, -2.114728e-09
-9.860, -2.121112e-09
-9.850, -2.116367e-09
-9.850, -2.116376e-09
-9.850, -2.119532e-09
-9.850, -2.120903e-09
-9.850, -2.120111e-09
-9.850, -2.121356e-09
-9.850, -2.122095e-09
-9.850, -2.118723e-09
-9.850, -2.11591e-09
-9.850, -2.121202e-09
-9.840, -2.115036e-09
-9.840, -2.117812e-09
-9.840, -2.118653e-09
-9.840, -2.112668e-09
-9.840, -2.114908e-09
-9.840, -2.116108e-09
-9.840, -2.112912e-09
-9.840, -2.111217e-09
-9.840, -2.119091e-09
-9.840, -2.116153e-09
-9.830, -2.118375e-09
-9.830, -2.112664e-09
-9.830, -2.114758e-09
-9.830, -2.117583e-09
-9.830, -2.112698e-09
-9.830, -2.111088e-09
-9.830, -2.116828e-09
-9.830, -2.115459e-09
-9.830, -2.112557e-09
-9.830, -2.113007e-09
-9.820, -2.117597e-09
-9.820, -2.115672e-09
-9.820, -2.115262e-09
-9.820, -2.115776e-09
-9.820, -2.120224e-09
-9.820, -2.115631e-09
-9.820, -2.113279e-09
-9.820, -2.116288e-09
-9.820, -2.111955e-09
-9.820, -2.113286e-09
-9.810, -2.114377e-09
-9.810, -2.111807e-09
-9.810, -2.109041e-09
-9.810, -2.114024e-09
-9.810, -2.11201e-09
-9.810, -2.107931e-09
-9.810, -2.113382e-09
-9.810, -2.11356e-09
-9.810, -2.112885e-09
-9.810, -2.11108e-09
-9.800, -2.114624e-09
-9.800, -2.112303e-09
-9.800, -2.109709e-09
-9.800, -2.114062e-09
-9.800, -2.11251e-09
-9.800, -2.111591e-09
-9.800, -2.110242e-09
-9.800, -2.114755e-09
-9.800, -2.114519e-09
-9.800, -2.109712e-09
-9.790, -2.113659e-09
-9.790, -2.109204e-09
-9.790, -2.112923e-09
-9.790, -2.112593e-09
-9.790, -2.113648e-09
-9.790, -2.108762e-09
-9.790, -2.111152e-09
-9.790, -2.11498e-09
-9.790, -2.108216e-09
-9.790, -2.110805e-09
-9.780, -2.112564e-09
-9.780, -2.116301e-09
-9.780, -2.112841e-09
-9.780, -2.112907e-09
-9.780, -2.120082e-09
-9.780, -2.116016e-09
-9.780, -2.115207e-09
-9.780, -2.116563e-09
-9.780, -2.114766e-09
-9.780, -2.115112e-09
-9.770, -2.113631e-09
-9.770, -2.116146e-09
-9.770, -2.109604e-09
-9.770, -2.109336e-09
-9.770, -2.115629e-09
-9.770, -2.111058e-09
-9.770, -2.108888e-09
-9.770, -2.114912e-09
-9.770, -2.113869e-09
-9.770, -2.111171e-09
-9.760, -2.107081e-09
-9.760, -2.11334e-09
-9.760, -2.113331e-09
-9.760, -2.108458e-09
-9.760, -2.107878e-09
-9.760, -2.109011e-09
-9.760, -2.109842e-09
-9.760, -2.108934e-09
-9.760, -2.109716e-09
-9.760, -2.113803e-09
-9.750, -2.108272e-09
-9.750, -2.107638e-09
-9.750, -2.11347e-09
-9.750, -2.110578e-09
-9.750, -2.108834e-09
-9.750, -2.113392e-09
-9.750, -2.113223e-09
-9.750, -2.109101e-09
-9.750, -2.107545e-09
-9.750, -2.110792e-09
-9.740, -2.110766e-09
-9.740, -2.107387e-09
-9.740, -2.109622e-09
-9.740, -2.110852e-09
-9.740, -2.112092e-09
-9.740, -2.107183e-09
-9.740, -2.111257e-09
-9.740, -2.112509e-09
-9.740, -2.108272e-09
-9.740, -2.102863e-09
-9.730, -2.112326e-09
-9.730, -2.107513e-09
-9.730, -2.105538e-09
-9.730, -2.111497e-09
-9.730, -2.111076e-09
-9.730, -2.105593e-09
-9.730, -2.107597e-09
-9.730, -2.111945e-09
-9.730, -2.10875e-09
-9.730, -2.106166e-09
-9.720, -2.112488e-09
-9.720, -2.109442e-09
-9.720, -2.105882e-09
-9.720, -2.108831e-09
-9.720, -2.11241e-09
-9.720, -2.105277e-09
-9.720, -2.107503e-09
-9.720, -2.109396e-09
-9.720, -2.11043e-09
-9.720, -2.107244e-09
-9.710, -2.109404e-09
-9.710, -2.113604e-09
-9.710, -2.113511e-09
-9.710, -2.113048e-09
-9.710, -2.115779e-09
-9.710, -2.113809e-09
-9.710, -2.110646e-09
-9.710, -2.110078e-09
-9.710, -2.110395e-09
-9.710, -2.111522e-09
-9.700, -2.114619e-09
-9.700, -2.109776e-09
-9.700, -2.112463e-09
-9.700, -2.114712e-09
-9.700, -2.109846e-09
-9.700, -2.11283e-09
-9.700, -2.113741e-09
-9.700, -2.110028e-09
-9.700, -2.108084e-09
-9.700, -2.112343e-09
-9.690, -2.10779e-09
-9.690, -2.105355e-09
-9.690, -2.11188e-09
-9.690, -2.109033e-09
-9.690, -2.105778e-09
-9.690, -2.107873e-09
-9.690, -2.107901e-09
-9.690, -2.104426e-09
-9.690, -2.108231e-09
-9.690, -2.110573e-09
-9.680, -2.108986e-09
