voltage (V), photocurrent (A)
0.000, -8.441044e-13
0.000, -9.404133e-13
0.000, -8.35076e-13
0.000, -9.544583e-13
0.000, -8.91256e-13
0.000, -9.664964e-13
0.000, -8.92259e-13
0.000, -8.94265e-13
0.000, -9.76529e-13
0.000, -8.581493e-13
0.500, -8.109985e-13
0.500, -7.477959e-13
0.500, -8.140079e-13
0.500, -7.919369e-13
0.500, -8.721945e-13
0.500, -7.558223e-13
0.500, -7.859178e-13
0.500, -7.588314e-13
0.500, -7.919374e-13
0.500, -7.016479e-13
1.000, -6.454686e-13
1.000, -6.625227e-13
1.000, -6.12362e-13
1.000, -6.153715e-13
1.000, -6.494807e-13
1.000, -7.668576e-13
1.000, -7.578278e-13
1.000, -6.254039e-13
1.000, -8.360791e-13
1.000, -7.096742e-13
1.500, -5.963106e-13
1.500, -6.033331e-13
1.500, -5.762462e-13
1.500, -6.976353e-13
1.500, -5.983172e-13
1.500, -7.247218e-13
1.500, -7.477963e-13
1.500, -6.514875e-13
1.500, -6.67539e-13
1.500, -6.615194e-13
2.000, -4.789343e-13
2.000, -6.585102e-13
2.000, -6.394489e-13
2.000, -5.79256e-13
2.000, -7.377641e-13
2.000, -4.869604e-13
2.000, -5.521689e-13
2.000, -6.565032e-13
2.000, -5.471531e-13
2.000, -5.180598e-13
2.500, -5.943041e-13
2.500, -5.93301e-13
2.500, -4.588704e-13
2.500, -5.953075e-13
2.500, -7.046576e-13
2.500, -5.812625e-13
2.500, -6.364396e-13
2.500, -6.936223e-13
2.500, -5.852753e-13
2.500, -5.030116e-13
3.000, -5.70227e-13
3.000, -4.448251e-13
3.000, -4.598735e-13
3.000, -4.367992e-13
3.000, -5.591914e-13
3.000, -5.561818e-13
3.000, -4.839508e-13
3.000, -5.431402e-13
3.000, -4.568638e-13
3.000, -5.280918e-13
3.500, -3.565422e-13
3.500, -3.093914e-13
3.500, -4.849538e-13
3.500, -3.906518e-13
3.500, -5.541758e-13
3.500, -3.936613e-13
3.500, -3.956677e-13
3.500, -4.117192e-13
3.500, -4.036932e-13
3.500, -5.351145e-13
4.000, -3.806194e-13
4.000, -4.297768e-13
4.000, -3.1842e-13
4.000, -4.087094e-13
4.000, -5.040147e-13
4.000, -4.20748e-13
4.000, -3.344716e-13
4.000, -4.578669e-13
4.000, -4.889665e-13
4.000, -4.839504e-13
4.500, -2.883237e-13
4.500, -3.715904e-13
4.500, -4.016869e-13
4.500, -2.963493e-13
4.500, -4.227544e-13
4.500, -3.936613e-13
4.500, -3.856355e-13
4.500, -3.956675e-13
4.500, -3.916547e-13
4.500, -4.548575e-13
5.000, -1.528897e-13
5.000, -2.421758e-13
5.000, -3.083881e-13
5.000, -3.605552e-13
5.000, -3.234363e-13
5.000, -3.555391e-13
5.000, -3.234361e-13
5.000, -3.394878e-13
5.000, -3.103944e-13
5.000, -4.347932e-13
5.500, -2.792947e-13
5.500, -1.960279e-13
5.500, -2.923365e-13
5.500, -2.20105e-13
5.500, -3.294556e-13
5.500, -2.281309e-13
5.500, -3.826258e-13
5.500, -3.344715e-13
5.500, -3.384844e-13
5.500, -3.625616e-13
6.000, -2.10073e-13
6.000, -1.739572e-13
6.000, -2.823044e-13
6.000, -3.204264e-13
6.000, -2.321437e-13
6.000, -2.9033e-13
6.000, -2.843107e-13
6.000, -2.963493e-13
6.000, -3.274491e-13
6.000, -3.856356e-13
6.500, -2.491984e-13
6.500, -2.251212e-13
6.500, -2.261244e-13
6.500, -3.36478e-13
6.500, -1.308191e-13
6.500, -2.3415e-13
6.500, -3.826257e-13
6.500, -2.772882e-13
6.500, -3.414941e-13
6.500, -2.873204e-13
7.000, -2.401694e-13
7.000, -1.579058e-13
7.000, -1.829862e-13
7.000, -1.809797e-13
7.000, -1.900087e-13
7.000, -1.719507e-13
7.000, -2.502015e-13
7.000, -2.642463e-13
7.000, -2.371596e-13
7.000, -1.930184e-13
7.500, -8.968717e-14
7.500, -2.000408e-13
7.500, -1.940215e-13
7.500, -2.311405e-13
7.500, -3.756035e-13
7.500, -1.438608e-13
7.500, -2.170954e-13
7.500, -2.241181e-13
7.500, -1.157707e-13
7.500, -2.391662e-13
8.000, -1.227932e-13
8.000, -1.167739e-13
8.000, -1.378414e-13
8.000, -1.107547e-13
8.000, -5.056182e-14
8.000, -1.940214e-13
8.000, -1.227933e-13
8.000, -1.910118e-13
8.000, -1.298157e-13
8.000, -3.224329e-13
8.500, -1.609154e-13
8.500, -6.260038e-14
8.500, 4.614085e-15
8.500, -8.266469e-14
8.500, -7.062609e-14
8.500, -1.779701e-13
8.500, -2.949429e-14
8.500, -2.347501e-14
8.500, -1.709475e-13
8.500, -1.63925e-13
9.000, -1.057387e-13
9.000, -6.159714e-14
9.000, -1.458671e-13
9.000, -4.413931e-15
9.000, -5.658106e-14
9.000, -6.460679e-14
9.000, -9.670971e-14
9.000, -6.260036e-14
9.000, -4.554573e-14
9.000, -1.799764e-13
9.500, -2.247179e-14
9.500, -6.460681e-14
9.500, -1.478737e-13
9.500, -1.478736e-13
9.500, -6.420361e-15
9.500, -6.360361e-14
9.500, -2.94943e-14
9.500, -9.430004e-15
9.500, -5.959072e-14
9.500, -2.000408e-13
10.000, -1.344286e-14
10.000, -5.758432e-14
10.000, 2.367226e-14
10.000, -2.548144e-14
10.000, 4.975187e-14
10.000, -1.468704e-13
10.000, -5.557791e-14
10.000, -2.347501e-14
10.000, -5.357141e-14
10.000, -5.758432e-14
10.500, 2.969064e-14
10.500, -2.94943e-14
10.500, -1.243964e-14
10.500, 1.865696e-14
10.500, -2.849108e-14
10.500, 6.479782e-14
10.500, 7.623274e-15
10.500, -2.407502e-15
10.500, -3.551358e-14
10.500, 9.629395e-15
11.000, 7.181925e-14
11.000, 7.181928e-14
11.000, 5.61715e-15
11.000, -3.952645e-14
11.000, -2.548144e-14
11.000, -2.748787e-14
11.000, -9.470322e-14
11.000, 1.865695e-14
11.000, -9.771289e-14
11.000, -1.478735e-13
11.500, -2.94943e-14
11.500, 1.263858e-14
11.500, 9.589273e-14
11.500, -4.253608e-14
11.500, -4.45425e-14
11.500, 1.289938e-13
11.500, 3.671208e-14
11.500, 4.573964e-14
11.500, -8.266464e-14
11.500, -7.423575e-15
12.000, 8.084682e-14
12.000, 1.420336e-13
12.000, 3.671207e-14
12.000, 6.881009e-14
12.000, 1.671102e-13
12.000, -2.407503e-15
12.000, -2.347501e-14
12.000, 1.390244e-13
12.000, 6.279167e-14
12.000, 9.890194e-14
12.500, 6.479783e-14
12.500, 1.139478e-13
12.500, 1.851653e-13
12.500, 1.400275e-13
12.500, 8.686522e-14
12.500, 5.577023e-14
12.500, 1.149509e-13
12.500, 1.119417e-13
12.500, 7.081618e-14
12.500, -8.166145e-14
13.000, 1.129447e-13
13.000, 1.279907e-13
13.000, 6.078558e-14
13.000, 1.229754e-13
13.000, 8.184984e-14
13.000, 8.385601e-14
13.000, 9.990501e-14
13.000, -3.752001e-14
13.000, -1.544929e-14
13.000, 1.701193e-13
13.500, 1.721256e-13
13.500, 1.8015e-13
13.500, 2.313061e-13
13.500, 1.229754e-13
13.500, 1.771409e-13
13.500, 6.981307e-14
13.500, 1.33006e-13
13.500, 2.30303e-13
13.500, 1.370182e-13
13.500, 8.887129e-14
14.000, 1.189632e-13
14.000, 7.382537e-14
14.000, 2.293001e-13
14.000, 1.350121e-13
14.000, 1.390244e-13
14.000, 1.64101e-13
14.000, 5.978249e-14
14.000, 9.488968e-14
14.000, 1.460459e-13
14.000, 1.460458e-13
14.500, 2.202725e-13
14.500, 1.450428e-13
14.500, 2.583889e-13
14.500, 1.610917e-13
14.500, 2.192694e-13
14.500, 2.603949e-13
14.500, 1.65104e-13
14.500, 9.789887e-14
14.500, 1.98205e-13
14.500, 8.686518e-14
15.000, 2.77447e-13
15.000, 3.085419e-13
15.000, 1.8015e-13
15.000, 2.955022e-13
15.000, 2.102418e-13
15.000, 1.219724e-13
15.000, 3.035267e-13
15.000, 1.440397e-13
15.000, 2.593919e-13
15.000, 8.987444e-14
15.500, 3.366277e-13
15.500, 3.306091e-13
15.500, 2.553797e-13
15.500, 6.88101e-14
15.500, 1.951958e-13
15.500, 1.82156e-13
15.500, 2.955022e-13
15.500, 2.513673e-13
15.500, 2.122479e-13
15.500, 1.600888e-13
16.000, 4.058389e-13
16.000, 3.637104e-13
16.000, 3.155634e-13
16.000, 2.76444e-13
16.000, 2.644071e-13
16.000, 2.884806e-13
16.000, 1.701194e-13
16.000, 2.613979e-13
16.000, 2.272938e-13
16.000, 2.142542e-13
16.500, 1.721255e-13
16.500, 2.363215e-13
16.500, 3.015207e-13
16.500, 3.245909e-13
16.500, 4.339249e-13
16.500, 2.694226e-13
16.500, 2.483583e-13
16.500, 3.697287e-13
16.500, 3.486643e-13
16.500, 2.603948e-13
17.000, 3.536797e-13
17.000, 3.707318e-13
17.000, 4.038327e-13
17.000, 3.115511e-13
17.000, 1.791469e-13
17.000, 3.546829e-13
17.000, 2.62401e-13
17.000, 2.694225e-13
17.000, 2.914897e-13
17.000, 8.78683e-14
17.500, 3.687256e-13
17.500, 3.917962e-13
17.500, 2.934959e-13
17.500, 2.032204e-13
17.500, 3.396368e-13
17.500, 3.366276e-13
17.500, 4.178759e-13
17.500, 2.443462e-13
17.500, 2.965051e-13
17.500, 2.423399e-13
18.000, 4.690319e-13
18.000, 3.486644e-13
18.000, 3.286032e-13
18.000, 2.242846e-13
18.000, 3.697289e-13
18.000, 3.998207e-13
18.000, 3.938022e-13
18.000, 2.894837e-13
18.000, 1.891775e-13
18.000, 3.546826e-13
18.500, 4.900964e-13
18.500, 4.519797e-13
18.500, 3.827687e-13
18.500, 5.492768e-13
18.500, 3.707319e-13
18.500, 3.968114e-13
18.500, 5.21191e-13
18.500, 4.319186e-13
18.500, 3.978145e-13
18.500, 3.717347e-13
19.000, 4.941084e-13
19.000, 3.135573e-13
19.000, 3.998204e-13
19.000, 3.637104e-13
19.000, 4.840778e-13
19.000, 5.211911e-13
19.000, 3.576919e-13
19.000, 1.941927e-13
19.000, 4.138634e-13
19.000, 3.346216e-13
19.500, 4.018267e-13
19.500, 4.730441e-13
19.500, 5.141694e-13
19.500, 3.336186e-13
19.500, 4.600044e-13
19.500, 4.710379e-13
19.500, 3.135571e-13
19.500, 4.208851e-13
19.500, 3.867809e-13
19.500, 4.519797e-13
20.000, 5.262066e-13
20.000, 4.519797e-13
20.000, 4.339247e-13
20.000, 5.071483e-13
20.000, 4.108542e-13
20.000, 3.817656e-13
20.000, 3.968117e-13
20.000, 4.168729e-13
20.000, 3.867808e-13
20.000, 4.10854e-13
20.500, 4.981205e-13
20.500, 4.549889e-13
20.500, 4.409464e-13
20.500, 4.248971e-13
20.500, 3.306092e-13
20.500, 3.968114e-13
20.500, 4.69032e-13
20.500, 3.135573e-13
20.500, 4.339248e-13
20.500, 4.05839e-13
21.000, 4.880902e-13
21.000, 4.971175e-13
21.000, 4.128603e-13
21.000, 4.499734e-13
21.000, 4.900964e-13
21.000, 5.312217e-13
21.000, 4.269034e-13
21.000, 3.787564e-13
21.000, 4.459612e-13
21.000, 4.339247e-13
21.500, 4.289092e-13
21.500, 4.850809e-13
21.500, 5.021326e-13
21.500, 5.151726e-13
21.500, 5.502801e-13
21.500, 4.37937e-13
21.500, 4.900961e-13
21.500, 4.971176e-13
21.500, 4.168724e-13
21.500, 3.8979e-13
22.000, 5.904023e-13
22.000, 4.860838e-13
22.000, 5.954179e-13
22.000, 5.944145e-13
22.000, 4.55992e-13
22.000, 5.402494e-13
22.000, 5.081511e-13
22.000, 4.439552e-13
22.000, 5.352342e-13
22.000, 5.091544e-13
22.500, 5.883965e-13
22.500, 6.88702e-13
22.500, 5.773621e-13
22.500, 6.18488e-13
22.500, 5.36237e-13
22.500, 5.793686e-13
22.500, 4.670256e-13
22.500, 5.472708e-13
22.500, 5.462677e-13
22.500, 4.509768e-13
23.000, 6.134724e-13
23.000, 5.88396e-13
23.000, 4.780593e-13
23.000, 5.482738e-13
23.000, 3.887868e-13
23.000, 4.64017e-13
23.000, 4.509767e-13
23.000, 6.235034e-13
23.000, 4.700349e-13
23.000, 4.90096e-13
23.500, 7.579134e-13
23.500, 6.786717e-13
23.500, 7.508924e-13
23.500, 5.96421e-13
23.500, 5.914056e-13
23.500, 5.342307e-13
23.500, 5.643225e-13
23.500, 5.101574e-13
23.500, 6.024391e-13
23.500, 5.552952e-13
24.000, 6.455707e-13
24.000, 5.88396e-13
24.000, 6.114664e-13
24.000, 6.214975e-13
24.000, 6.295218e-13
24.000, 5.593075e-13
24.000, 3.707319e-13
24.000, 6.245067e-13
24.000, 5.633198e-13
24.000, 4.710378e-13
24.500, 5.823778e-13
24.500, 5.833808e-13
24.500, 6.405559e-13
24.500, 6.054481e-13
24.500, 6.716507e-13
24.500, 5.542923e-13
24.500, 6.455706e-13
24.500, 6.004332e-13
24.500, 6.856936e-13
24.500, 4.640166e-13
25.000, 6.957238e-13
25.000, 6.556015e-13
25.000, 5.87393e-13
25.000, 5.141692e-13
25.000, 5.753563e-13
25.000, 5.492771e-13
25.000, 4.89093e-13
25.000, 4.850807e-13
25.000, 6.385494e-13
25.000, 5.783659e-13
25.500, 8.040548e-13
25.500, 6.997363e-13
25.500, 8.471865e-13
25.500, 8.100734e-13
25.500, 6.535953e-13
25.500, 6.164819e-13
25.500, 4.479678e-13
25.500, 6.325305e-13
25.500, 7.067575e-13
25.500, 5.934114e-13
26.000, 7.127759e-13
26.000, 7.559079e-13
26.000, 6.305249e-13
26.000, 6.876995e-13
26.000, 5.853869e-13
26.000, 7.137788e-13
26.000, 5.81375e-13
26.000, 6.666351e-13
26.000, 6.295214e-13
26.000, 5.562982e-13
26.500, 7.308316e-13
26.500, 7.328374e-13
26.500, 7.398591e-13
26.500, 7.057545e-13
26.500, 7.428677e-13
26.500, 7.368496e-13
26.500, 8.070639e-13
26.500, 6.816809e-13
26.500, 6.706475e-13
26.500, 7.418643e-13
27.000, 6.556017e-13
27.000, 7.137788e-13
27.000, 7.127759e-13
27.000, 6.074545e-13
27.000, 6.535952e-13
27.000, 6.576075e-13
27.000, 5.452651e-13
27.000, 7.829901e-13
27.000, 7.067571e-13
27.000, 7.448736e-13
27.500, 8.301346e-13
27.500, 7.528984e-13
27.500, 8.34146e-13
27.500, 6.957235e-13
27.500, 7.498887e-13
27.500, 8.341466e-13
27.500, 6.425611e-13
27.500, 7.26819e-13
27.500, 6.836871e-13
27.500, 6.686409e-13
28.000, 8.05057e-13
28.000, 8.191005e-13
28.000, 7.639319e-13
28.000, 6.997363e-13
28.000, 6.977297e-13
28.000, 8.010455e-13
28.000, 8.150882e-13
28.000, 8.251192e-13
28.000, 8.090698e-13
28.000, 6.004334e-13
28.500, 8.150885e-13
28.500, 7.1077e-13
28.500, 7.137789e-13
28.500, 7.368493e-13
28.500, 7.559076e-13
28.500, 7.589169e-13
28.500, 8.752721e-13
28.500, 6.70647e-13
28.500, 6.716501e-13
28.500, 6.576072e-13
29.000, 9.364591e-13
29.000, 8.170949e-13
29.000, 8.191008e-13
29.000, 7.318341e-13
29.000, 7.208009e-13
29.000, 8.522017e-13
29.000, 6.756624e-13
29.000, 7.35846e-13
29.000, 7.629294e-13
29.000, 6.987334e-13
29.500, 8.10073e-13
29.500, 9.224149e-13
29.500, 8.110762e-13
29.500, 7.087636e-13
29.500, 8.060605e-13
29.500, 7.378522e-13
29.500, 7.248131e-13
29.500, 7.940238e-13
29.500, 7.699507e-13
29.500, 7.408615e-13
30.000, 8.782816e-13
30.000, 9.063675e-13
30.000, 8.100728e-13
30.000, 9.113821e-13
30.000, 8.451793e-13
30.000, 8.411677e-13
30.000, 7.629289e-13
30.000, 7.769717e-13
30.000, 7.087636e-13
30.000, 6.816803e-13
30.500, -1.653538e-11
30.500, -6.797178e-12
30.500, -5.713708e-12
30.500, -5.012459e-12
30.500, -4.296162e-12
30.500, -3.767474e-12
30.500, -3.305993e-12
30.500, -2.936809e-12
30.500, -2.689015e-12
30.500, -2.417143e-12
31.000, -6.785739e-13
31.000, -5.682204e-13
31.000, -5.371209e-13
31.000, -5.922975e-13
31.000, -5.581883e-13
31.000, -4.919761e-13
31.000, -5.421369e-13
31.000, -5.160533e-13
31.000, -3.876417e-13
31.000, -4.658925e-13
31.500, 6.62021e-15
31.500, -2.648464e-14
31.500, 1.966001e-14
31.500, 1.029142e-13
31.500, 1.063245e-14
31.500, 9.087738e-14
31.500, 1.410305e-13
31.500, 1.149509e-13
31.500, -5.417145e-15
31.500, 5.175798e-14
32.000, 3.958081e-13
32.000, 2.333123e-13
32.000, 2.714286e-13
32.000, 2.624012e-13
32.000, 2.573857e-13
32.000, 3.78756e-13
32.000, 2.423397e-13
32.000, 2.333122e-13
32.000, 1.520642e-13
32.000, 3.576918e-13
32.500, 3.225849e-13
32.500, 3.927991e-13
32.500, 3.476612e-13
32.500, 2.162602e-13
32.500, 4.148664e-13
32.500, 4.710378e-13
32.500, 4.289093e-13
32.500, 4.22891e-13
32.500, 3.687254e-13
32.500, 2.975081e-13
33.000, 6.405557e-13
33.000, 5.252031e-13
33.000, 4.800653e-13
33.000, 4.660224e-13
33.000, 5.181817e-13
33.000, 4.289092e-13
33.000, 5.091543e-13
33.000, 5.001268e-13
33.000, 4.840776e-13
33.000, 5.101571e-13
33.500, 6.626226e-13
33.500, 5.693376e-13
33.500, 7.238098e-13
33.500, 7.32837e-13
33.500, 4.018267e-13
33.500, 5.272091e-13
33.500, 6.626225e-13
33.500, 6.967271e-13
33.500, 6.084572e-13
33.500, 5.322248e-13
34.000, 7.458771e-13
34.000, 7.197972e-13
34.000, 6.726535e-13
34.000, 7.097668e-13
34.000, 6.82684e-13
34.000, 6.907083e-13
34.000, 6.16482e-13
34.000, 5.914052e-13
34.000, 5.753563e-13
34.000, 5.863898e-13
34.500, 7.539013e-13
34.500, 7.127756e-13
34.500, 5.914055e-13
34.500, 6.285183e-13
34.500, 7.167876e-13
34.500, 7.248126e-13
34.500, 6.24506e-13
34.500, 6.596133e-13
34.500, 7.589167e-13
34.500, 6.666348e-13
35.000, 7.32837e-13
35.000, 6.225e-13
35.000, 7.528987e-13
35.000, 9.535106e-13
35.000, 7.900115e-13
35.000, 6.596133e-13
35.000, 7.208003e-13
35.000, 6.917113e-13
35.000, 6.525922e-13
35.000, 7.338402e-13
35.500, 8.772781e-13
35.500, 6.566039e-13
35.500, 7.739623e-13
35.500, 6.856928e-13
35.500, 8.562135e-13
35.500, 7.779745e-13
35.500, 8.291308e-13
35.500, 7.910143e-13
35.500, 8.391617e-13
35.500, 7.308307e-13
36.000, 8.562135e-13
36.000, 8.762756e-13
36.000, 8.050574e-13
36.000, 9.424767e-13
36.000, 7.859992e-13
36.000, 6.937178e-13
36.000, 8.251187e-13
36.000, 8.752718e-13
36.000, 7.950269e-13
36.000, 8.522013e-13
36.500, 9.06367e-13
36.500, 8.331436e-13
36.500, 9.78587e-13
36.500, 8.451798e-13
36.500, 8.983421e-13
36.500, 8.5822e-13
36.500, 9.133882e-13
36.500, 9.194067e-13
36.500, 7.759684e-13
36.500, 7.930209e-13
37.000, 1.009682e-12
37.000, 9.525072e-13
37.000, 8.572167e-13
37.000, 9.354557e-13
37.000, 8.592225e-13
37.000, 7.528983e-13
37.000, 8.391616e-13
37.000, 9.615342e-13
37.000, 9.244216e-13
37.000, 8.441766e-13
37.500, 1.036765e-12
37.500, 9.836026e-13
37.500, 9.37462e-13
37.500, 9.525078e-13
37.500, 8.481892e-13
37.500, 9.695596e-13
37.500, 9.163974e-13
37.500, 9.575231e-13
37.500, 9.404706e-13
37.500, 9.103793e-13
38.000, 1.053817e-12
38.000, 9.896204e-13
38.000, 9.364583e-13
38.000, 1.0157e-12
38.000, 9.795901e-13
38.000, 9.043605e-13
38.000, 9.023541e-13
38.000, 9.896209e-13
38.000, 8.311366e-13
38.000, 9.494989e-13
38.500, 9.785875e-13
38.500, 1.122025e-12
38.500, 9.083729e-13
38.500, 1.032752e-12
38.500, 1.001657e-12
38.500, 8.421704e-13
38.500, 9.846063e-13
38.500, 9.725688e-13
38.500, 9.224158e-13
38.500, 8.652406e-13
39.000, 9.675536e-13
39.000, 1.026734e-12
39.000, 1.11701e-12
39.000, 9.685562e-13
39.000, 1.001657e-12
39.000, 9.384642e-13
39.000, 9.46489e-13
39.000, 8.863052e-13
39.000, 9.725686e-13
39.000, 9.876152e-13
39.500, 1.058832e-12
39.500, 1.081903e-12
39.500, 1.068863e-12
39.500, 1.231358e-12
39.500, 1.01871e-12
39.500, 9.926295e-13
39.500, 8.702561e-13
39.500, 1.011688e-12
39.500, 1.088924e-12
39.500, 9.274312e-13
40.000, 1.097951e-12
40.000, 1.137071e-12
40.000, 1.016703e-12
40.000, 1.021719e-12
40.000, 1.004667e-12
40.000, 1.133058e-12
40.000, 9.866114e-13
40.000, 1.044789e-12
40.000, 1.068863e-12
40.000, 1.068863e-12
40.500, 1.230356e-12
40.500, 1.142087e-12
40.500, 1.108986e-12
40.500, 1.154123e-12
40.500, 1.012691e-12
40.500, 1.219321e-12
40.500, 1.127041e-12
40.500, 1.083909e-12
40.500, 9.906238e-13
40.500, 1.116007e-12
41.000, 1.151114e-12
41.000, 1.075884e-12
41.000, 1.136067e-12
