voltage (V), photocurrent (A)
0.000, -1.926576e-12
0.000, -2.099128e-12
0.000, -1.993792e-12
0.000, -1.987771e-12
0.000, -2.021881e-12
0.000, -2.03091e-12
0.000, -2.072042e-12
0.000, -1.947643e-12
0.000, -2.074049e-12
0.000, -1.998807e-12
0.500, 1.239786e-13
0.500, 8.586224e-14
0.500, 1.490552e-13
0.500, 2.072329e-13
0.500, 1.430368e-13
0.500, 2.433431e-13
0.500, 3.376312e-13
0.500, 2.483584e-13
0.500, 2.634045e-13
0.500, 3.807629e-13
1.000, 8.937896e-12
1.000, 8.718228e-12
1.000, 8.574792e-12
1.000, 8.422318e-12
1.000, 8.393234e-12
1.000, 8.117393e-12
1.000, 8.210681e-12
1.000, 8.198637e-12
1.000, 8.117394e-12
1.000, 8.104354e-12
1.500, 1.661434e-11
1.500, 1.622615e-11
1.500, 1.591822e-11
1.500, 1.554808e-11
1.500, 1.537756e-11
1.500, 1.518398e-11
1.500, 1.492217e-11
1.500, 1.488607e-11
1.500, 1.470853e-11
1.500, 1.462928e-11
2.000, 2.168884e-11
2.000, 2.154138e-11
2.000, 2.125852e-11
2.000, 2.110606e-11
2.000, 2.088338e-11
2.000, 2.053833e-11
2.000, 2.03668e-11
2.000, 2.024443e-11
2.000, 2.010099e-11
2.000, 2.004382e-11
2.500, 2.605517e-11
2.500, 2.551853e-11
2.500, 2.480536e-11
2.500, 2.444627e-11
2.500, 2.441316e-11
2.500, 2.38023e-11
2.500, 2.370599e-11
2.500, 2.341813e-11
2.500, 2.321951e-11
2.500, 2.305401e-11
3.000, 2.71435e-11
3.000, 2.666102e-11
3.000, 2.685561e-11
3.000, 2.644336e-11
3.000, 2.608124e-11
3.000, 2.605619e-11
3.000, 2.567803e-11
3.000, 2.542525e-11
3.000, 2.539314e-11
3.000, 2.521461e-11
3.500, 3.003736e-11
3.500, 2.959499e-11
3.500, 2.943851e-11
3.500, 2.912054e-11
3.500, 2.88136e-11
3.500, 2.86501e-11
3.500, 2.837225e-11
3.500, 2.81897e-11
3.500, 2.815359e-11
3.500, 2.803621e-11
4.000, 3.201737e-11
4.000, 3.180371e-11
4.000, 3.126708e-11
4.000, 3.101132e-11
4.000, 3.079464e-11
4.000, 3.081572e-11
4.000, 3.047467e-11
4.000, 3.034929e-11
4.000, 3.018677e-11
4.000, 3.003834e-11
4.500, 3.37587e-11
4.500, 3.334643e-11
4.500, 3.327121e-11
4.500, 3.280176e-11
4.500, 3.243664e-11
4.500, 3.24176e-11
4.500, 3.223604e-11
4.500, 3.225611e-11
4.500, 3.210164e-11
4.500, 3.192509e-11
5.000, 3.566152e-11
5.000, 3.531142e-11
5.000, 3.497742e-11
5.000, 3.459423e-11
5.000, 3.463336e-11
5.000, 3.470257e-11
5.000, 3.453709e-11
5.000, 3.422413e-11
5.000, 3.432241e-11
5.000, 3.451e-11
5.500, 3.781408e-11
5.500, 3.72935e-11
5.500, 3.689426e-11
5.500, 3.692836e-11
5.500, 3.68672e-11
5.500, 3.669167e-11
5.500, 3.655923e-11
5.500, 3.631853e-11
5.500, 3.624729e-11
5.500, 3.620917e-11
6.000, 3.837881e-11
6.000, 3.791239e-11
6.000, 3.789934e-11
6.000, 3.765559e-11
6.000, 3.726641e-11
6.000, 3.707682e-11
6.000, 3.69033e-11
6.000, 3.686017e-11
6.000, 3.674784e-11
6.000, 3.660841e-11
6.500, 3.932569e-11
6.500, 3.903581e-11
6.500, 3.880812e-11
6.500, 3.854632e-11
6.500, 3.838282e-11
6.500, 3.822436e-11
6.500, 3.771681e-11
6.500, 3.795353e-11
6.500, 3.786324e-11
6.500, 3.767267e-11
7.000, 4.076607e-11
7.000, 4.048223e-11
7.000, 4.008502e-11
7.000, 3.994658e-11
7.000, 3.963162e-11
7.000, 3.954637e-11
7.000, 3.960254e-11
7.000, 3.938188e-11
7.000, 3.920936e-11
7.000, 3.895356e-11
7.500, 4.183235e-11
7.500, 4.151237e-11
7.500, 4.130175e-11
7.500, 4.106399e-11
7.500, 4.086841e-11
7.500, 4.072195e-11
7.500, 4.066378e-11
7.500, 4.050932e-11
7.500, 4.046317e-11
7.500, 4.032778e-11
8.000, 4.3031e-11
8.000, 4.289856e-11
8.000, 4.268698e-11
8.000, 4.259368e-11
8.000, 4.232085e-11
8.000, 4.221654e-11
8.000, 4.208114e-11
8.000, 4.191762e-11
8.000, 4.187347e-11
8.000, 4.179425e-11
8.500, 4.401002e-11
8.500, 4.345733e-11
8.500, 4.34463e-11
8.500, 4.330888e-11
8.500, 4.315641e-11
8.500, 4.299291e-11
8.500, 4.300289e-11
8.500, 4.277424e-11
8.500, 4.271203e-11
8.500, 4.258265e-11
9.000, 4.488267e-11
9.000, 4.453558e-11
9.000, 4.422466e-11
9.000, 4.399294e-11
9.000, 4.371312e-11
9.000, 4.369506e-11
9.000, 4.347938e-11
9.000, 4.34503e-11
9.000, 4.323563e-11
9.000, 4.346132e-11
9.500, 4.555072e-11
9.500, 4.535511e-11
9.500, 4.511236e-11
9.500, 4.471015e-11
9.500, 4.485658e-11
9.500, 4.488969e-11
9.500, 4.480342e-11
9.500, 4.49198e-11
9.500, 4.490174e-11
9.500, 4.480742e-11
10.000, 4.635816e-11
10.000, 4.60442e-11
10.000, 4.603115e-11
10.000, 4.596696e-11
10.000, 4.584462e-11
10.000, 4.58787e-11
10.000, 4.557476e-11
10.000, 4.548047e-11
10.000, 4.518657e-11
10.000, 4.536013e-11
10.500, 4.732612e-11
10.500, 4.718368e-11
10.500, 4.70824e-11
10.500, 4.709038e-11
10.500, 4.690686e-11
10.500, 4.678148e-11
10.500, 4.666011e-11
10.500, 4.656679e-11
10.500, 4.648653e-11
10.500, 4.649462e-11
11.000, 4.883073e-11
11.000, 4.87645e-11
11.000, 4.845762e-11
11.000, 4.846461e-11
11.000, 4.847563e-11
11.000, 4.871639e-11
11.000, 4.908151e-11
11.000, 4.924699e-11
11.000, 4.910252e-11
11.000, 4.917177e-11
11.500, 4.908049e-11
11.500, 4.90253e-11
11.500, 4.890294e-11
11.500, 4.904641e-11
11.500, 4.875651e-11
11.500, 4.840342e-11
11.500, 4.821985e-11
11.500, 4.803529e-11
11.500, 4.805736e-11
11.500, 4.782165e-11
12.000, 5.011766e-11
12.000, 4.987491e-11
12.000, 4.954592e-11
12.000, 4.919986e-11
12.000, 4.917678e-11
12.000, 4.933428e-11
12.000, 4.941649e-11
12.000, 4.941247e-11
12.000, 4.912059e-11
12.000, 4.878862e-11
12.500, 5.059514e-11
12.500, 5.039246e-11
12.500, 5.0234e-11
12.500, 5.021093e-11
12.500, 5.013973e-11
12.500, 4.998526e-11
12.500, 4.996118e-11
12.500, 4.972744e-11
12.500, 4.972144e-11
12.500, 4.979165e-11
13.000, 5.154398e-11
13.000, 5.118692e-11
13.000, 5.110569e-11
13.000, 5.118189e-11
13.000, 5.119496e-11
13.000, 5.160819e-11
13.000, 5.1545e-11
13.000, 5.153697e-11
13.000, 5.154102e-11
13.000, 5.154799e-11
13.500, 5.230332e-11
13.500, 5.21679e-11
13.500, 5.182288e-11
13.500, 5.182587e-11
13.500, 5.158114e-11
13.500, 5.161224e-11
13.500, 5.136948e-11
13.500, 5.132834e-11
13.500, 5.134041e-11
13.500, 5.122605e-11
14.000, 5.325222e-11
14.000, 5.286405e-11
14.000, 5.25952e-11
14.000, 5.245978e-11
14.000, 5.247382e-11
14.000, 5.228024e-11
14.000, 5.212777e-11
14.000, 5.204051e-11
14.000, 5.213883e-11
14.000, 5.190511e-11
14.500, 5.344382e-11
14.500, 5.394233e-11
14.500, 5.370661e-11
14.500, 5.354913e-11
14.500, 5.357922e-11
14.500, 5.365244e-11
14.500, 5.358023e-11
14.500, 5.348393e-11
14.500, 5.335654e-11
14.500, 5.316996e-11
15.000, 5.470465e-11
15.000, 5.448297e-11
15.000, 5.460136e-11
15.000, 5.431849e-11
15.000, 5.423923e-11
15.000, 5.417408e-11
15.000, 5.421014e-11
15.000, 5.401554e-11
15.000, 5.395738e-11
15.000, 5.403762e-11
15.500, 5.531656e-11
15.500, 5.53125e-11
15.500, 5.487216e-11
15.500, 5.501359e-11
15.500, 5.505772e-11
15.500, 5.486712e-11
15.500, 5.485611e-11
15.500, 5.479292e-11
15.500, 5.464949e-11
15.500, 5.475279e-11
16.000, 5.626142e-11
16.000, 5.596248e-11
16.000, 5.57318e-11
16.000, 5.591035e-11
16.000, 5.563248e-11
16.000, 5.561746e-11
16.000, 5.535062e-11
16.000, 5.518414e-11
16.000, 5.548102e-11
16.000, 5.537972e-11
16.500, 5.678403e-11
16.500, 5.663758e-11
16.500, 5.630654e-11
16.500, 5.632059e-11
16.500, 5.628549e-11
16.500, 5.615412e-11
16.500, 5.611997e-11
16.500, 5.609192e-11
16.500, 5.569166e-11
16.500, 5.546798e-11
17.000, 5.698764e-11
17.000, 5.692846e-11
17.000, 5.699866e-11
17.000, 5.679705e-11
17.000, 5.664964e-11
17.000, 5.660047e-11
17.000, 5.658444e-11
17.000, 5.651715e-11
17.000, 5.621027e-11
17.000, 5.660749e-11
17.500, 5.783922e-11
17.500, 5.768578e-11
17.500, 5.75022e-11
17.500, 5.7756e-11
17.500, 5.742396e-11
17.500, 5.746109e-11
17.500, 5.719825e-11
17.500, 5.717317e-11
17.500, 5.7109e-11
17.500, 5.712806e-11
18.000, 5.81973e-11
18.000, 5.87851e-11
18.000, 5.916227e-11
18.000, 5.91392e-11
18.000, 5.903288e-11
18.000, 5.829359e-11
18.000, 5.846214e-11
18.000, 5.840593e-11
18.000, 5.846313e-11
18.000, 5.824449e-11
18.500, 5.941402e-11
18.500, 5.924353e-11
18.500, 5.915024e-11
18.500, 5.898576e-11
18.500, 5.892558e-11
18.500, 5.882422e-11
18.500, 5.913418e-11
18.500, 5.881318e-11
18.500, 5.862565e-11
18.500, 5.867375e-11
19.000, 6.004396e-11
19.000, 5.99166e-11
19.000, 5.982031e-11
19.000, 5.971099e-11
19.000, 5.951334e-11
19.000, 5.966681e-11
19.000, 5.950332e-11
19.000, 5.917528e-11
19.000, 5.942507e-11
19.000, 5.960862e-11
19.500, 6.183342e-11
19.500, 6.151846e-11
19.500, 6.125565e-11
19.500, 6.101893e-11
19.500, 6.095874e-11
19.500, 6.088853e-11
19.500, 6.098481e-11
19.500, 6.075612e-11
19.500, 6.057259e-11
19.500, 6.057958e-11
20.000, 6.150844e-11
20.000, 6.151246e-11
20.000, 6.154958e-11
20.000, 6.158371e-11
20.000, 6.142114e-11
20.000, 6.158967e-11
20.000, 6.16799e-11
20.000, 6.169698e-11
20.000, 6.190163e-11
20.000, 6.171008e-11
20.500, 6.249847e-11
20.500, 6.246736e-11
20.500, 6.240819e-11
20.500, 6.217647e-11
20.500, 6.219054e-11
20.500, 6.203399e-11
20.500, 6.205406e-11
20.500, 6.232691e-11
20.500, 6.221158e-11
20.500, 6.21193e-11
21.000, 6.331798e-11
21.000, 6.315949e-11
21.000, 6.302606e-11
21.000, 6.304812e-11
21.000, 6.298193e-11
21.000, 6.29027e-11
21.000, 6.286359e-11
21.000, 6.285755e-11
21.000, 6.272919e-11
21.000, 6.262685e-11
21.500, 6.405421e-11
21.500, 6.369007e-11
21.500, 6.349048e-11
21.500, 6.333001e-11
21.500, 6.333697e-11
21.500, 6.337716e-11
21.500, 6.320561e-11
21.500, 6.264089e-11
21.500, 6.261882e-11
21.500, 6.26238e-11
22.000, 6.473731e-11
22.000, 6.400606e-11
22.000, 6.385059e-11
22.000, 6.373423e-11
22.000, 6.349648e-11
22.000, 6.365397e-11
22.000, 6.35627e-11
22.000, 6.360983e-11
22.000, 6.343027e-11
22.000, 6.341124e-11
22.500, 6.488271e-11
22.500, 6.471521e-11
22.500, 6.461996e-11
22.500, 6.4646e-11
22.500, 6.444337e-11
22.500, 6.434912e-11
22.500, 6.445443e-11
22.500, 6.440326e-11
22.500, 6.44113e-11
22.500, 6.434111e-11
