voltage (V), photocurrent (A)
0.000, 1.043427e-07
0.000, 1.042575e-07
0.000, 1.041398e-07
0.000, 1.040047e-07
0.000, 1.038272e-07
0.000, 1.03675e-07
0.000, 1.040286e-07
0.000, 1.038534e-07
0.000, 1.039692e-07
0.000, 1.041617e-07
0.500, 1.824953e-07
0.500, 1.825538e-07
0.500, 1.815282e-07
0.500, 1.821677e-07
0.500, 1.82505e-07
0.500, 1.824937e-07
0.500, 1.818927e-07
0.500, 1.820721e-07
0.500, 1.820251e-07
0.500, 1.820396e-07
1.000, 2.666742e-07
1.000, 2.668246e-07
1.000, 2.641325e-07
1.000, 2.649401e-07
1.000, 2.647638e-07
1.000, 2.644635e-07
1.000, 2.644283e-07
1.000, 2.626002e-07
1.000, 2.631719e-07
1.000, 2.62994e-07
1.500, 3.537404e-07
1.500, 3.507008e-07
1.500, 3.520789e-07
1.500, 3.522803e-07
1.500, 3.49407e-07
1.500, 3.510978e-07
1.500, 3.510916e-07
1.500, 3.516664e-07
1.500, 3.503991e-07
1.500, 3.507211e-07
2.000, 4.360504e-07
2.000, 4.36522e-07
2.000, 4.359771e-07
2.000, 4.37221e-07
2.000, 4.363859e-07
2.000, 4.356503e-07
2.000, 4.350402e-07
2.000, 4.3501e-07
2.000, 4.350795e-07
2.000, 4.361644e-07
2.500, 5.168308e-07
2.500, 5.143934e-07
2.500, 5.194957e-07
2.500, 5.174485e-07
2.500, 5.206928e-07
2.500, 5.160109e-07
2.500, 5.17029e-07
2.500, 5.156894e-07
2.500, 5.151354e-07
2.500, 5.141229e-07
3.000, 5.917194e-07
3.000, 5.905785e-07
3.000, 5.912995e-07
3.000, 5.912235e-07
3.000, 5.864496e-07
3.000, 5.861631e-07
3.000, 5.887148e-07
3.000, 5.865221e-07
3.000, 5.860564e-07
3.000, 5.869408e-07
3.500, 6.529623e-07
3.500, 6.527043e-07
3.500, 6.519448e-07
3.500, 6.526871e-07
3.500, 6.524265e-07
3.500, 6.521917e-07
3.500, 6.520463e-07
3.500, 6.523384e-07
3.500, 6.517377e-07
3.500, 6.530042e-07
4.000, 7.222019e-07
4.000, 7.21667e-07
4.000, 7.214329e-07
4.000, 7.220415e-07
4.000, 7.222934e-07
4.000, 7.22228e-07
4.000, 7.235814e-07
4.000, 7.227007e-07
4.000, 7.22227e-07
4.000, 7.229573e-07
4.500, 7.740664e-07
4.500, 7.74608e-07
4.500, 7.734902e-07
4.500, 7.735945e-07
4.500, 7.748417e-07
4.500, 7.742883e-07
4.500, 7.741667e-07
4.500, 7.74561e-07
4.500, 7.737053e-07
4.500, 7.738241e-07
5.000, 8.187256e-07
5.000, 8.176112e-07
5.000, 8.171531e-07
5.000, 8.178902e-07
5.000, 8.178824e-07
5.000, 8.172456e-07
5.000, 8.170959e-07
5.000, 8.15257e-07
5.000, 8.139418e-07
5.000, 8.141508e-07
5.500, 8.558924e-07
5.500, 8.551299e-07
5.500, 8.559816e-07
5.500, 8.55245e-07
5.500, 8.549788e-07
5.500, 8.56098e-07
5.500, 8.5607e-07
5.500, 8.545663e-07
5.500, 8.555169e-07
5.500, 8.558919e-07
6.000, 8.935613e-07
6.000, 8.932038e-07
6.000, 8.94238e-07
6.000, 8.941132e-07
6.000, 8.936545e-07
6.000, 8.940054e-07
6.000, 8.943018e-07
6.000, 8.933383e-07
