voltage (V), photocurrent (A)
0.000, 3.392465e-09
0.000, 3.399937e-09
0.000, 3.404695e-09
0.000, 3.411146e-09
0.000, 3.413528e-09
0.000, 3.41681e-09
0.000, 3.419082e-09
0.000, 3.423991e-09
0.000, 3.430052e-09
0.000, 3.425378e-09
0.500, 1.84968e-08
0.500, 1.849286e-08
0.500, 1.847518e-08
0.500, 1.848045e-08
0.500, 1.846517e-08
0.500, 1.847529e-08
0.500, 1.849165e-08
0.500, 1.849089e-08
0.500, 1.849244e-08
0.500, 1.84916e-08
1.000, 3.349568e-08
1.000, 3.394573e-08
1.000, 3.430537e-08
1.000, 3.459493e-08
1.000, 3.486616e-08
1.000, 3.516727e-08
1.000, 3.534448e-08
1.000, 3.552857e-08
1.000, 3.568984e-08
1.000, 3.579867e-08
1.500, 5.132504e-08
1.500, 5.139888e-08
1.500, 5.130601e-08
1.500, 5.135657e-08
1.500, 5.141906e-08
1.500, 5.136414e-08
1.500, 5.136372e-08
1.500, 5.143195e-08
1.500, 5.132188e-08
1.500, 5.133152e-08
2.000, 5.92658e-08
2.000, 5.920409e-08
2.000, 5.926945e-08
2.000, 5.915017e-08
2.000, 5.890081e-08
2.000, 5.947145e-08
2.000, 5.881422e-08
2.000, 5.853065e-08
2.000, 5.860623e-08
2.000, 5.944613e-08
2.500, 6.498652e-08
2.500, 6.512367e-08
2.500, 6.514336e-08
2.500, 6.492307e-08
2.500, 6.49632e-08
2.500, 6.493079e-08
2.500, 6.567943e-08
2.500, 6.551772e-08
2.500, 6.544885e-08
2.500, 6.55692e-08
3.000, 7.178235e-08
3.000, 7.19253e-08
3.000, 7.221173e-08
3.000, 7.218839e-08
3.000, 7.208808e-08
3.000, 7.213581e-08
3.000, 7.222492e-08
3.000, 7.210438e-08
3.000, 7.205555e-08
3.000, 7.212241e-08
3.500, 7.667759e-08
3.500, 7.675827e-08
3.500, 7.689486e-08
3.500, 7.697088e-08
3.500, 7.680254e-08
3.500, 7.666116e-08
3.500, 7.658038e-08
3.500, 7.636802e-08
3.500, 7.597712e-08
3.500, 7.594783e-08
4.000, 7.943688e-08
4.000, 7.939581e-08
4.000, 7.948373e-08
4.000, 7.957956e-08
4.000, 7.934092e-08
4.000, 7.943711e-08
4.000, 7.958145e-08
4.000, 7.948842e-08
4.000, 7.94337e-08
4.000, 7.953263e-08
4.500, 8.350978e-08
4.500, 8.302849e-08
4.500, 8.277291e-08
4.500, 8.368509e-08
4.500, 8.338537e-08
4.500, 8.324288e-08
4.500, 8.296241e-08
4.500, 8.342012e-08
4.500, 8.283241e-08
4.500, 8.281796e-08
5.000, 8.521616e-08
5.000, 8.529229e-08
5.000, 8.537731e-08
5.000, 8.516652e-08
5.000, 8.518344e-08
5.000, 8.546634e-08
5.000, 8.61329e-08
5.000, 8.509041e-08
5.000, 8.57044e-08
5.000, 8.574516e-08
5.500, 8.846694e-08
5.500, 8.762145e-08
5.500, 8.797237e-08
5.500, 8.757913e-08
5.500, 8.767884e-08
5.500, 8.77938e-08
5.500, 8.767602e-08
5.500, 8.854989e-08
5.500, 8.907274e-08
5.500, 8.881663e-08
6.000, 9.194704e-08
6.000, 9.189987e-08
6.000, 9.179469e-08
6.000, 9.168503e-08
6.000, 9.157078e-08
6.000, 9.182153e-08
6.000, 9.172314e-08
6.000, 9.159338e-08
6.000, 9.126634e-08
6.000, 9.131843e-08
6.500, 9.282017e-08
6.500, 9.274096e-08
6.500, 9.310926e-08
6.500, 9.280335e-08
6.500, 9.242234e-08
6.500, 9.286584e-08
6.500, 9.290496e-08
6.500, 9.273258e-08
6.500, 9.240292e-08
6.500, 9.254593e-08
7.000, 9.398192e-08
7.000, 9.413467e-08
7.000, 9.370689e-08
7.000, 9.385766e-08
7.000, 9.368107e-08
7.000, 9.353342e-08
7.000, 9.364405e-08
7.000, 9.381645e-08
7.000, 9.342224e-08
7.000, 9.338461e-08
7.500, 9.499372e-08
7.500, 9.520744e-08
7.500, 9.48668e-08
7.500, 9.466592e-08
7.500, 9.499246e-08
7.500, 9.487647e-08
7.500, 9.472936e-08
7.500, 9.472827e-08
7.500, 9.480306e-08
7.500, 9.454011e-08
8.000, 9.583471e-08
8.000, 9.568819e-08
8.000, 9.594108e-08
8.000, 9.596127e-08
8.000, 9.564896e-08
8.000, 9.580047e-08
8.000, 9.597756e-08
8.000, 9.577473e-08
8.000, 9.579758e-08
8.000, 9.590121e-08
8.500, 9.699328e-08
8.500, 9.701439e-08
8.500, 9.723297e-08
8.500, 9.712445e-08
8.500, 9.695326e-08
8.500, 9.726386e-08
8.500, 9.715899e-08
8.500, 9.710332e-08
8.500, 9.727435e-08
8.500, 9.722851e-08
9.000, 9.643028e-08
9.000, 9.666416e-08
9.000, 9.686325e-08
9.000, 9.683368e-08
9.000, 9.711722e-08
9.000, 9.726952e-08
9.000, 9.633004e-08
9.000, 9.670288e-08
9.000, 9.677068e-08
9.000, 9.581922e-08
9.500, 9.74719e-08
9.500, 9.795333e-08
9.500, 9.768728e-08
9.500, 9.75601e-08
9.500, 9.722067e-08
9.500, 9.696981e-08
9.500, 9.715706e-08
9.500, 9.725937e-08
9.500, 9.658499e-08
9.500, 9.63875e-08
10.000, 9.805304e-08
10.000, 9.833394e-08
10.000, 9.836404e-08
10.000, 9.814016e-08
10.000, 9.815994e-08
10.000, 9.837886e-08
10.000, 9.811863e-08
10.000, 9.817753e-08
10.000, 9.836647e-08
10.000, 9.813199e-08
10.500, 9.812564e-08
10.500, 9.799329e-08
10.500, 9.823184e-08
10.500, 9.822863e-08
10.500, 9.796953e-08
10.500, 9.813638e-08
10.500, 9.828975e-08
10.500, 9.800683e-08
10.500, 9.801315e-08
10.500, 9.822954e-08
11.000, 1.006763e-07
11.000, 1.006234e-07
11.000, 1.005022e-07
11.000, 1.001136e-07
11.000, 1.005347e-07
11.000, 1.003882e-07
11.000, 1.004842e-07
11.000, 1.004933e-07
11.000, 9.967096e-08
11.000, 9.980746e-08
11.500, 9.990772e-08
11.500, 1.005537e-07
11.500, 1.008016e-07
11.500, 1.005367e-07
11.500, 1.00574e-07
11.500, 1.007459e-07
