wavelength (nm), amplitude (a.u.)
1.976711731e+02,5.250686081e-04
1.978697968e+02,-2.967779001e-04
1.980684357e+02,-5.981216091e-04
1.982670898e+02,-6.529113743e-04
1.984657593e+02,-1.598034869e-04
1.986644592e+02,9.085969650e-04
1.988631744e+02,-4.611471959e-04
1.990619049e+02,-1.502152765e-03
1.992606506e+02,1.374309999e-03
1.994594116e+02,-3.789625480e-04
1.996582031e+02,-9.816499660e-04
1.998570099e+02,-1.419968088e-03
2.000558319e+02,-5.022395271e-05
2.002546692e+02,-3.447189461e-03
2.004535217e+02,-1.693916973e-03
2.006523895e+02,-2.104840241e-03
2.008512878e+02,6.620429922e-04
2.010502014e+02,-2.145932522e-04
2.012491302e+02,-2.693830174e-04
2.014480743e+02,-2.693830174e-04
2.016470490e+02,-4.885420785e-04
2.018460236e+02,-1.940470887e-03
2.020450287e+02,-2.693830174e-04
2.022440491e+02,-1.324086043e-04
2.024430847e+02,7.442276692e-04
2.026421509e+02,-2.762317425e-03
2.028412170e+02,-1.666522119e-03
2.030403137e+02,-7.898858166e-04
2.032394257e+02,-1.036439789e-03
2.034385529e+02,-2.214419656e-03
2.036376953e+02,-1.009044820e-03
2.038368683e+02,-1.419968088e-03
2.040360565e+02,1.566074206e-03
2.042352600e+02,-2.734922571e-03
2.044344788e+02,-1.365178381e-03
2.046337128e+02,-9.268602007e-04
2.048329620e+02,-2.269209595e-03
2.050322418e+02,8.538071997e-04
2.052315369e+02,-6.529113743e-04
2.054308472e+02,-9.542551124e-04
2.056301727e+02,-8.172806702e-04
2.058295135e+02,-2.282907008e-05
2.060288849e+02,1.072966261e-03
2.062282562e+02,-1.337783528e-03
2.064276581e+02,-1.050137216e-04
2.066270752e+02,-1.995260594e-03
2.068265228e+02,-5.981216091e-04
2.070259705e+02,-6.529113743e-04
2.072254486e+02,-1.419968088e-03
2.074249268e+02,-2.187024802e-03
2.076244354e+02,4.154890776e-04
2.078239746e+02,-7.898858166e-04
2.080235138e+02,-1.871983695e-04
2.082230835e+02,-2.488368656e-03
2.084226532e+02,-2.145932522e-04
2.086222534e+02,-5.707267555e-04
2.088218689e+02,1.100361114e-03
2.090214996e+02,-8.994653472e-04
2.092211609e+02,-1.611732296e-03
2.094208221e+02,-3.789625480e-04
2.096205139e+02,-2.967779001e-04
2.098202209e+02,1.415402367e-04
2.100199432e+02,-1.940470887e-03
2.102196960e+02,8.675046411e-05
2.104194489e+02,-1.324086043e-04
2.106192322e+02,-1.036439789e-03
2.108190308e+02,-2.419881348e-04
2.110188446e+02,-1.721311826e-03
2.112186737e+02,-7.898858166e-04
2.114185181e+02,2.237248846e-04
2.116183929e+02,-1.050137216e-04
2.118182831e+02,-1.666522119e-03
2.120181885e+02,-1.324086043e-04
2.122181091e+02,-7.898858166e-04
2.124180450e+02,-8.172806702e-04
2.126179962e+02,-2.734922571e-03
2.128179779e+02,3.880941949e-04
2.130179749e+02,-1.419968088e-03
2.132179871e+02,2.785146353e-04
2.134180145e+02,-4.885420785e-04
2.136180573e+02,-7.350960514e-04
2.138181305e+02,-1.310388558e-03
2.140182037e+02,4.428839602e-04
2.142183075e+02,-2.817107132e-03
2.144184265e+02,-7.624909049e-04
2.146185608e+02,-1.803496503e-03
2.148187256e+02,1.018176554e-03
2.150188904e+02,-1.036439789e-03
2.152190857e+02,-5.707267555e-04
2.154192963e+02,1.415402367e-04
2.156195221e+02,-2.132235095e-03
2.158197632e+02,-2.378789010e-03
2.160200348e+02,1.963300019e-04
2.162203064e+02,-2.187024802e-03
2.164206085e+02,6.072532269e-04
2.166209259e+02,-1.118624466e-03
2.168212585e+02,-7.077011396e-04
2.170216064e+02,-8.994653472e-04
2.172219696e+02,-3.789625480e-04
2.174223633e+02,-1.009044820e-03
2.176227722e+02,-1.036439789e-03
2.178231964e+02,1.963300019e-04
2.180236359e+02,-1.392573235e-03
2.182240906e+02,-1.830891357e-03
2.184245758e+02,-9.268602007e-04
2.186250610e+02,3.059095470e-04
2.188255768e+02,-5.981216091e-04
2.190261078e+02,-1.091229497e-03
2.192266541e+02,-1.776101650e-03
2.194272156e+02,-1.474757912e-03
2.196278076e+02,-1.324086043e-04
2.198283997e+02,-1.721311826e-03
2.200290222e+02,-6.529113743e-04
2.202296600e+02,-1.255598851e-03
2.204303131e+02,-1.365178381e-03
2.206309814e+02,-7.898858166e-04
2.208316803e+02,-5.159369903e-04
2.210323792e+02,-4.337523133e-04
2.212331085e+02,-1.502152765e-03
2.214338531e+02,-5.433318438e-04
2.216346130e+02,1.785233268e-03
2.218353882e+02,-1.885681180e-03
2.220361938e+02,1.127756084e-03
2.222369995e+02,-1.009044820e-03
2.224378357e+02,-7.898858166e-04
2.226386871e+02,-2.187024802e-03
2.228395538e+02,-2.282907008e-05
2.230404358e+02,-9.268602007e-04
2.232413483e+02,-4.063574306e-04
2.234422607e+02,-1.598034869e-04
2.236432037e+02,-7.350960514e-04
2.238441620e+02,-1.146019320e-03
2.240451355e+02,-1.036439789e-03
2.242461243e+02,-9.816499660e-04
2.244471436e+02,5.250686081e-04
2.246481628e+02,-1.200809027e-03
2.248492126e+02,-2.282907008e-05
2.250502777e+02,-1.995260594e-03
2.252513580e+02,-1.091229497e-03
2.254524536e+02,-1.776101650e-03
2.256535645e+02,-4.885420785e-04
2.258547058e+02,1.689351193e-04
2.260558624e+02,-4.063574306e-04
2.262570190e+02,-1.666522119e-03
2.264582062e+02,-2.419881348e-04
2.266594238e+02,-2.132235095e-03
2.268606415e+02,1.182545791e-03
2.270618744e+02,3.333044297e-04
2.272631378e+02,-7.898858166e-04
2.274644165e+02,8.538071997e-04
2.276657104e+02,5.935558147e-05
2.278670197e+02,4.154890776e-04
2.280683441e+02,-4.611471959e-04
2.282696838e+02,-1.200809027e-03
2.284710541e+02,-1.050137216e-04
2.286724396e+02,-9.816499660e-04
2.288738403e+02,7.442276692e-04
2.290752563e+02,-1.091229497e-03
2.292766876e+02,-8.446755819e-04
2.294781342e+02,-5.159369903e-04
2.296796112e+02,-1.036439789e-03
2.298810883e+02,-1.337783528e-03
2.300825958e+02,1.689351193e-04
2.302841187e+02,-2.378789010e-03
2.304856567e+02,-1.146019320e-03
