wavelength (nm), amplitude (a.u.)
1.976711731e+02,-9.802200657e-05
1.978697968e+02,-3.442168236e-04
1.980684357e+02,1.625341596e-03
1.982670898e+02,-9.802200657e-05
1.984657593e+02,3.875288530e-05
1.986644592e+02,8.594022365e-04
1.988631744e+02,1.680051559e-03
1.990619049e+02,-7.545414846e-04
1.992606506e+02,1.481727959e-04
1.994594116e+02,-2.347968984e-04
1.996582031e+02,-3.442168236e-04
1.998570099e+02,6.132074632e-04
2.000558319e+02,7.226273301e-04
2.002546692e+02,8.320472552e-04
2.004535217e+02,1.139790766e-05
2.006523895e+02,8.320472552e-04
2.008512878e+02,-6.724765408e-04
2.010502014e+02,-4.262817383e-04
2.012491302e+02,4.217225942e-04
2.014480743e+02,2.575927065e-04
2.016470490e+02,5.858524819e-04
2.018460236e+02,-1.356351073e-03
2.020450287e+02,-6.177665782e-04
2.022440491e+02,-5.083467113e-04
2.024430847e+02,1.297081937e-03
2.026421509e+02,-8.639614098e-04
2.028412170e+02,1.187662012e-03
2.030403137e+02,-1.411061035e-03
2.032394257e+02,-8.639614098e-04
2.034385529e+02,-7.271865034e-04
2.036376953e+02,5.311425193e-04
2.038368683e+02,2.849476878e-04
2.040360565e+02,8.046922740e-04
2.042352600e+02,1.844181446e-03
2.044344788e+02,9.346284060e-05
2.046337128e+02,1.297081937e-03
2.048329620e+02,6.679174257e-04
2.050322418e+02,2.302377397e-04
2.052315369e+02,4.490775755e-04
2.054308472e+02,6.610786659e-05
2.056301727e+02,1.187662012e-03
2.058295135e+02,3.123026690e-04
2.060288849e+02,1.078242087e-03
2.062282562e+02,-3.168618423e-04
2.064276581e+02,7.499823114e-04
2.066270752e+02,-9.733813349e-04
2.068265228e+02,1.734761521e-03
2.070259705e+02,-1.356351073e-03
2.072254486e+02,7.773372927e-04
2.074249268e+02,-4.262817383e-04
2.076244354e+02,-6.177665782e-04
2.078239746e+02,1.215016935e-03
2.080235138e+02,1.351791900e-03
2.082230835e+02,-1.082801260e-03
2.084226532e+02,1.208178219e-04
2.086222534e+02,-7.818964659e-04
2.088218689e+02,2.302377397e-04
2.090214996e+02,3.396576503e-04
2.092211609e+02,5.584975006e-04
2.094208221e+02,2.028827585e-04
2.096205139e+02,1.139790766e-05
2.098202209e+02,-1.356351073e-03
2.100199432e+02,-4.536367196e-04
2.102196960e+02,1.139790766e-05
2.104194489e+02,-1.711965771e-03
2.106192322e+02,4.217225942e-04
2.108190308e+02,2.309216186e-03
2.110188446e+02,-3.168618423e-04
2.112186737e+02,-4.536367196e-04
2.114185181e+02,1.481727959e-04
2.116183929e+02,7.499823114e-04
2.118182831e+02,9.688221617e-04
2.120181885e+02,-1.527319691e-04
2.122181091e+02,-9.733813349e-04
2.124180450e+02,1.132952049e-03
2.126179962e+02,-1.930805622e-03
2.128179779e+02,-1.253769879e-04
2.130179749e+02,-1.595707181e-05
2.132179871e+02,4.490775755e-04
2.134180145e+02,-3.442168236e-04
2.136180573e+02,-3.989267861e-04
2.138181305e+02,1.269726898e-03
2.140182037e+02,2.028827585e-04
2.142183075e+02,1.755277772e-04
2.144184265e+02,3.875288530e-05
